page|138
|(除特别注明外，金额单位为人民币千元)||||
|附注|本集团||本银行|
||2019 年度|2018 年度|2019 年度|2018 年度
一、营业收入||46,363,909|38,943,092|45,256,563|38,288,549
利息收入|七、33|79,488,355|72,251,597|77,686,556|71,294,788
利息支出|七、33|(45,614,289)|(45,866,049)|(44,811,755)|(45,399,495)
利息净收入||33,874,066|26,385,548|32,874,801|25,895,293
手续费及佣金收入|七、34|5,078,857|4,829,898|5,040,622|4,750,278
手续费及佣金支出||(499,875)|(577,975)|(492,148)|(574,667)
手续费及佣金净收入||4,578,982|4,251,923|4,548,474|4,175,611
投资收益|七、35|8,102,124|5,286,129|8,097,259|5,282,403
其中：以摊余成本计量的|||||
金融资产终止确认|||||
产生的收益||116,702|251,827|116,702|251,827
公允价值变动损益|七、36|(724,997)|3,145,197|(716,411)|3,145,197
汇兑损益||206,196|(567,273)|206,196|(567,273)
资产处置收益||78|(1,333)|(68)|(1,026)
其他收益||327,460|442,901|246,312|358,344
二、营业支出||(31,712,028)|(25,061,183)|(31,201,297)|(24,596,360)
税金及附加|七、37|(597,822)|(437,828)|(593,653)|(432,019)
业务及管理费|七、38|(12,167,675)|(11,563,271)|(12,062,835)|(11,469,218)
信用减值损失|七、39|(18,902,216)|(13,029,555)|(18,544,809)|(12,695,123)
其他业务成本||(44,315)|(30,529)|-|-
三、营业利润||14,651,881|13,881,909|14,055,266|13,692,189
加：营业外收入|七、40|83,200|79,384|83,002|79,309
减：营业外支出|七、41|(54,668)|(110,792)|(54,465)|(110,542)
四、利润总额||14,680,413|13,850,501|14,083,803|13,660,956
减：所得税费用|七、42|(1,537,430)|(2,290,164)|(1,389,061)|(2,243,315)
page|139
收益的税后净额|||||
（一）不能重分类进损益的|||||
其他综合收益|||||
-其他权益工具投资|||||
公允价值变动||123,375|-|123,375|-
（二）将重分类进损益的其他|||||
综合收益|||||
-以公允价值计量且其|||||
变动计入其他综合|||||
收益的金融资产|||||
公允价值变动||476,974|409,794|476,974|409,794
-以公允价值计量且其|||||
变动计入其他综合|||||
收益的金融资产|||||
信用减值损失||(187,343)|390,890|(187,343)|390,890
-外币财务报表折算|||||
差异||465,606|886,023|465,606|886,023
其他综合收益税后净额||878,612|1,686,707|878,612|1,686,707
七、综合收益总额||14,021,595|13,247,044|13,573,354|13,104,348
归属于本行股东的综合收益||13,803,376|13,177,123|13,573,354|13,104,348
归属于少数股东的综合收益||218,219|69,921|-|-
八、每股收益|七、43||||
基本每股收益(人民币元)||0.64|0.61|不适用|不适用
稀释每股收益(人民币元)||0.64|0.61|不适用|不适用
后   附财务报表附注是本财务报表的组成部分。|||||
董事长：沈仁康|行长：徐仁艳||主管财务负责人：刘龙||财务机构负责人：景峰
