page|136
|(除特别注明外，金额单位为人民币千元)||||
||本集团||本银行|
||2019 年|2018 年|2019 年|2018 年
|附注|12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
资产|||||
现金及存放中央银行款项|七、1|131,029,072|126,370,232|131,028,991|126,370,152
贵金属||21,251,360|8,103,317|21,251,360|8,103,317
存放同业及其他金融机构|||||
款项|七、2|17,724,896|20,080,045|17,596,310|19,743,551
拆出资金|七、3|9,184,137|7,730,630|8,833,981|7,740,644
衍生金融资产|七、5|13,892,307|10,123,361|13,892,307|10,123,361
买入返售金融资产|七、6|28,949,921|27,572,499|28,949,921|27,572,499
发放贷款及垫款|七、7|998,932,735|837,075,890|998,932,735|837,075,890
金融投资：|||||
交易性金融资产|七、4|129,265,827|135,210,776|128,474,414|134,610,776
债权投资|七、8|305,160,425|337,836,410|305,160,425|337,836,410
其他债权投资|七、8|82,921,600|91,610,792|83,204,600|92,036,192
其他权益工具投资||689,500|275,000|689,500|275,000
长期股权投资|七、9|-|-|1,530,000|1,530,000
固定资产|七、10|12,673,290|10,357,153|11,679,556|9,770,511
使用权资产|七、11|3,255,647|不适用|3,255,475|不适用
无形资产|七、12|2,092,839|756,527|2,081,822|748,146
递延所得税资产|七、13|11,830,627|8,319,665|11,545,246|8,149,681
其他资产|七、14|31,931,684|25,272,447|6,207,438|6,551,985
资产总计||1,800,785,867|1,646,694,744|1,774,314,081|1,628,238,115
page|137
(除特别注明外，金额单位为人民币千元)|||||
||本集团||本银行|
||2019 年|2018 年|2019 年|2018 年
||附注|12 月 31 日|12 月 31 日|12 月 31 日
负债|||||
同业及其他金融机构存放|||||
款项|七、16|132,950,073|170,814,671|133,319,941|170,826,642
拆入资金|七、17|33,853,023|38,052,708|12,513,809|24,053,363
交易性金融负债|七、22|15,143,347|12,483,213|15,143,347|12,483,213
衍生金融负债||七、5|10,648,171|14,911,116|10,648,171
卖出回购金融资产款|七、18|100,066,925|71,131,702|100,066,925|71,131,702
吸收存款|七、19|1,143,740,603|974,770,403|1,143,740,603|974,915,960
应付职工薪酬|七、20|4,439,393|4,005,720|4,383,251|3,963,314
应交税费|七、21|4,669,210|2,612,984|4,520,747|2,469,101
预计负债|七、23|5,543,931|3,118,177|5,543,931|3,118,177
租赁负债||3,107,876|不适用|3,107,711|不适用
应付债券|七、24|206,241,190|245,996,763|206,241,190|245,996,763
其他负债|七、25|8,091,511|10,611,695|4,901,958|7,843,048
负债合计||1,672,758,198|1,544,246,207|1,648,394,529|1,527,449,454
股东权益|||||
股本|七、26|21,268,697|18,718,697|21,268,697|18,718,697
其他权益工具|七、27|14,957,664|14,957,664|14,957,664|14,957,664
资本公积|七、26|32,018,296|22,130,353|32,018,296|22,130,353
其他综合收益|七、28|2,267,967|1,389,355|2,267,967|1,389,355
盈余公积|七、29|7,294,213|6,024,739|7,294,213|6,024,739
一般风险准备|七、30|19,454,244|18,461,991|19,454,244|18,461,991
未分配利润|七、31|28,985,330|19,202,699|28,658,471|19,105,862
归属于本行股东权益合计||126,246,411|100,885,498|125,919,552|100,788,661
少数股东权益|七、32|1,781,258|1,563,039|-|-
股东权益合计||128,027,669|102,448,537|125,919,552|100,788,661
负债和股东权益总计||1,800,785,867|1,646,694,744|1,774,314,081|1,628,238,115
page|141
|(除特别注明外，金额单位为人民币千元)||||
|附注|本集团|||本银行
||2019 年度|2018 年度|2019 年度|2018 年度
二、投资活动产生的现金流量|||||
收回投资收到的现金||3,754,264,510|1,853,743,467|3,754,258,949|1,853,318,067
取得投资收益收到的现金||29,168,894|28,743,794|27,364,590|27,783,084
处置固定资产、无形资产和|||||
其他长期资产收取的现金||13,754|66,611|8,332|66,610
投资活动现金流入小计||3,783,447,158|1,882,553,872|3,781,631,871|1,881,167,761
投资支付的现金||(3,721,619,440)|(1,802,283,878)|(3,721,477,040)|(1,802,283,878)
购建固定资产、无形资产和|||||
其他长期资产支付的现金||(4,682,639)|(4,969,026)|(4,221,876)|(4,702,152)
投资活动现金流出小计||(3,726,302,079)|(1,807,252,904)|(3,725,698,916)|(1,806,986,030)
投资活动产生的现金流量净额||57,145,079|75,300,968|55,932,955|74,181,731
三、筹资活动产生的现金流量|||||
发行股份收到的现金|七、26|12,437,943|2,914,545|12,437,943|2,914,545
发行债券及同业存单收到的|||||
现金||227,478,130|314,226,594|227,478,130|314,226,594
筹资活动现金流入小计||239,916,073|317,141,139|239,916,073|317,141,139
