page|97
项目|附注|本年数|上年数
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||103,671|96,309
收到的税费返还||27|162
收到其他与经营活动有关的现金|六、56|162|327
经营活动现金流入小计||103,860|96,798
购买商品、接受劳务支付的现金||82,277|75,894
支付给职工以及为职工支付的现金||4,411|4,448
支付的各项税费||2,732|3,068
支付其他与经营活动有关的现金|六、56|4,524|3,368
经营活动现金流出小计||93,944|86,778
经营活动产生的现金流量净额|六、57|9,916|10,020
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||165|209
处置固定资产、无形资产和其他长期资产收回的现金净额||22|3
收到其他与投资活动有关的现金|六、56|113|68
投资活动现金流入小计||300|280
购建固定资产、无形资产和其他长期资产支付的现金||3,778|3,415
投资支付的现金||14|80
支付其他与投资活动有关的现金|六、56|60|51
投资活动现金流出小计||3,852|3,546
投资活动产生的现金流量净额||(3,552)|(3,266)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||5|
其中：子公司吸收少数股东投资收到的现金|||
取得借款所收到的现金||12,605|17,415
收到其他与筹资活动有关的现金|六、56|1|33
筹资活动现金流入小计||12,611|17,448
偿还债务所支付的现金||16,803|18,508
分配股利、利润或偿付利息所支付的现金||1,262|2,388
其中：子公司支付给少数股东的股利、利润||9|
支付其他与筹资活动有关的现金|六、56|252|789
筹资活动现金流出小计||18,317|21,685
筹资活动产生的现金流量净额||(5,706)|(4,237)
四、汇率变动对现金及现金等价物的影|||
响 五、现金及现金等价物净增加额|六、57|658|2,517
加：年初现金及现金等价物余额|六、57|4,671|2,154
六、年末现金及现金等价物余额|六、57|5,329|4,671
