page|129
|||2021年12月31日止年度
||（除另有注明外，金额单位均为人民币百万元）|
|附注七|2021年度|2020年度
一 、营业收入||597,691|583,696
已赚保费||530,014|520,751
保险业务收入|36|585,423|563,606
其中 ：分保费收入||4,222|2,933
减 ：分出保费||(47,058)|(44,436)
（提取）╱转回未到期责任准备金|37|(8,351)|1,581
投资收益|38|62,835|59,866
其中 ：对联营企业和合营企业的投资收益||13,571|11,413
公允价值变动收益╱（损失）|39|636|(150)
汇兑损失||(331)|(816)
资产处置收益||219|105
其他收益|53|376|351
其他业务收入|40|3,942|3,589
二 、营业支出||561,863|552,251
退保金||24,906|45,321
赔付支出|41|336,698|308,809
减 ：摊回赔付支出||(26,900)|(23,506)
提取保险责任准备金|42|88,920|52,704
减 ：摊回保险责任准备金|43|(3,795)|(3,682)
（转回）╱提取保费准备金||(303)|206
保单红利支出||3,684|3,090
分保费用||996|705
税金及附加|44|2,006|1,987
手续费及佣金支出|45|50,939|62,489
业务及管理费|46|86,388|103,689
减 ：摊回分保费用||(11,070)|(11,921)
其他业务成本|47|7,876|8,521
资产减值损失|48|1,518|3,839
三 、营业利润||35,828|31,445
加 ：营业外收入|49|353|443
减 ：营业外支出|49|(288)|(244)
四 、利润总额||35,893|31,644
减 ：所得税费用|50|(5,291)|(3,370)
page|130
2021年12月31日止年度|||
（除另有注明外，金额单位均为人民币百万元）|||
|附注七|2021年度|2020年度
五 、净利润||30,602|28,274
（一）按经营持续性分类 ：|||
持续经营净利润||30,602|28,274
（二）按所有权归属分类 ：|||
1. 归属于母公司股东的净利润||21,638|20,069
2. 少数股东损益||8,964|8,205
六 、其他综合收益的税后净额|||
归属于母公司所有者的其他综合收益的税后净额|51|1,377|5,685
（一）将重分类进损益的其他综合收益|||
可供出售金融资产公允价值变动损益||560|7,857
可供出售金融资产公允价值变动计入保险责任准备|||
金部分||(192)|(1,344)
转入投资性房地产重估利得||472|194
权益法下可转损益的其他综合收益||685|(886)
外币报表折算差额||(80)|(81)
（二）不能重分类进损益的其他综合收益|||
重新计量设定受益计划变动额||(174)|(57)
权益法下不能转损益的其他综合收益||106|2
归属于少数股东的其他综合收益税后净额|51|880|2,455
合计|51|2,257|8,140
七 、综合收益总额||32,859|36,414
归属于母公司所有者的综合收益总额||23,015|25,754
归属于少数股东的综合收益总额||9,844|10,660
八 、每股收益（人民币元）|||
基本每股收益|52|0.49|0.45
稀释每股收益|52|0.49|0.45
