page|126
2021年12月31日|||
（除另有注明外，金额单位均为人民币百万元）|||
||2021年|2020年
|附注七|12月31日|12月31日
资产|||
货币资金|1|22,398|24,104
以公允价值计量且其变动计入当期损益的金融资产|2|57,459|33,433
买入返售金融资产|3|11,490|55,081
应收保费|4|41,720|36,775
应收分保账款|5|16,359|15,578
应收分保未到期责任准备金||13,591|12,202
应收分保未决赔款准备金||20,670|18,192
应收分保寿险责任准备金||28|25
应收分保长期健康险责任准备金||5,386|4,072
保户质押贷款|6|5,889|5,295
定期存款|7|94,341|89,016
可供出售金融资产|8|502,102|379,312
持有至到期投资|9|197,346|181,199
分类为贷款及应收款的投资|10|144,603|171,307
长期股权投资|11|135,570|124,840
存出资本保证金|12|12,994|12,994
投资性房地产|13|13,340|13,246
固定资产|14|33,025|33,183
使用权资产|15|3,066|2,942
无形资产|16|8,392|8,123
商誉||198|–
递延所得税资产|17|10,225|8,491
其他资产|18|26,210|26,051
资产总计||1,376,402|1,255,461
page|127
|附注七|12月31日|12月31日
负债和股东权益|||
负债|||
卖出回购金融资产款|21|77,598|85,826
预收保费||27,390|24,048
应付手续费及佣金||8,535|8,177
应付分保账款||22,767|21,296
应付职工薪酬|22|25,052|21,671
应交税费|23|8,803|8,579
应付赔付款||10,751|12,493
应付保单红利||5,342|4,096
保户储金及投资款|24|44,855|39,338
未到期责任准备金|25|170,602|160,862
未决赔款准备金|25|179,153|162,022
寿险责任准备金|25|364,646|303,046
长期健康险责任准备金|25|55,555|45,031
保费准备金|26|2,412|2,594
应付债券|27|43,804|56,960
租赁负债|28|2,993|2,792
递延所得税负债|17|2,053|1,449
其他负债|29|27,386|22,045
负债合计||1,079,697|982,325
股东权益|||
股本|30|44,224|44,224
资本公积|31|7,527|7,545
其他综合收益||18,845|17,468
盈余公积|32|14,187|13,319
一般风险准备|33|15,752|13,772
大灾风险利润准备金|34|212|793
未分配利润|35|118,385|105,073
归属于母公司股东权益合计||219,132|202,194
少数股东权益||77,573|70,942
股东权益合计||296,705|273,136
