page|97
|||合 并 资 产 负 债 表||||
|||2021年12月31日||||
|||||||会合01表
编制单位：浙江震元股份有限公司|||||||单位：人民币元
|注释|||负债和所有者权益|注释||
资  产||期末数|上年年末数|||期末数|上年年末数
|号|||(或股东权益)|号||
流动资产：||||流动负债：|||
货币资金|1|413,630,072.64|510,211,483.48|短期借款|20||50,046,597.22
结算备付金||||向中央银行借款|||
拆出资金||||拆入资金|||
交易性金融资产|2|220,000,000.00|150,000,000.00|交易性金融负债|||
衍生金融资产||||衍生金融负债|||
应收票据||||应付票据|21|153,177,517.40|145,453,320.53
应收账款|3|534,111,282.07|480,434,384.73|应付账款|22|477,816,114.11|413,743,538.14
应收款项融资|4|68,519,092.06|57,392,370.58|预收款项|23|3,111,238.62|1,100,532.39
预付款项|5|67,802,727.11|29,830,507.00|合同负债|24|16,768,246.05|15,612,286.08
应收保费||||卖出回购金融资产款|||
应收分保账款||||吸收存款及同业存放|||
应收分保合同准备金||||代理买卖证券款|||
其他应收款|6|15,216,721.24|11,591,199.26|代理承销证券款|||
买入返售金融资产||||应付职工薪酬|25|73,244,159.39|73,518,691.80
存货|7|613,625,670.84|510,629,543.67|应交税费|26|71,775,544.59|82,276,921.76
合同资产||||其他应付款|27|94,501,741.14|45,926,774.18
持有待售资产||||应付手续费及佣金|||
一年内到期的非流动资产||||应付分保账款|||
其他流动资产|8|4,010,602.47|15,941,660.94|持有待售负债|||
流动资产合计||1,936,916,168.43|1,766,031,149.66|一年内到期的非流动负债|28|34,980,091.21|
||||其他流动负债|29|6,328,230.49|3,200,558.78
||||流动负债合计||931,702,883.00|830,879,220.88
||||非流动负债：|||
||||保险合同准备金|||
||||长期借款|||
||||应付债券|||
||||其中：优先股|||
||||永续债|||
||||租赁负债|30|47,906,875.87|
||||长期应付款|||
||||长期应付职工薪酬|||
非流动资产：||||预计负债|||
发放贷款和垫款||||递延收益|31|82,733,668.34|76,760,977.31
债权投资|9||103,300,000.00|递延所得税负债|18|52,155,579.28|31,646,355.97
其他债权投资||||其他非流动负债|||
长期应收款|10|480,000.00|570,000.00|非流动负债合计||182,796,123.49|108,407,333.28
长期股权投资||||负债合计||1,114,499,006.49|939,286,554.16
其他权益工具投资|11|348,502,447.80|227,465,554.62|所有者权益(或股东权益)：|||
其他非流动金融资产||||实收资本(或股本)|32|334,123,286.00|334,123,286.00
投资性房地产|12|8,588,962.24|9,182,752.55|其他权益工具|||
固定资产|13|447,425,873.94|476,676,411.61|其中：优先股|||
在建工程|14|22,685,219.13|4,989,200.58|永续债|||
生产性生物资产||||资本公积|33|533,187,451.77|536,423,102.75
油气资产||||减：库存股|||
使用权资产|15|96,610,260.48||其他综合收益|34|156,993,813.52|95,466,143.65
无形资产|16|54,006,494.31|54,521,965.00|专项储备|||
开发支出||||盈余公积|35|64,601,807.90|57,403,534.22
商誉||||一般风险准备|||
长期待摊费用|17|20,491,217.61|24,657,509.67|未分配利润|36|764,747,177.70|718,039,010.58
递延所得税资产|18|31,559,046.90|32,034,593.12|归属于母公司所有者权益合计||1,853,653,536.89|1,741,455,077.20
其他非流动资产|19|19,130,840.92|1,849,912.37|少数股东权益||18,243,988.38|20,537,417.82
非流动资产合计||1,049,480,363.33|935,247,899.52|所有者权益合计||1,871,897,525.27|1,761,992,495.02
资产总计||2,986,396,531.76|2,701,279,049.18|负债和所有者权益总计||2,986,396,531.76|2,701,279,049.18
