page|124
项目|附注七|2020 年度|2019 年度
一、营业总收入||16,535,431,465.41|12,872,206,437.16
其中：营业收入|61|16,535,431,465.41|12,872,206,437.16
二、营业总成本||13,928,304,273.31|10,421,694,944.56
其中：营业成本|61|10,253,275,738.89|7,858,299,235.34
税金及附加|62|34,504,967.70|28,156,413.21
销售费用|63|588,459,299.32|438,539,742.66
管理费用|64|1,839,000,399.44|1,482,349,962.10
研发费用|65|693,259,628.60|590,388,701.80
财务费用|66|519,804,239.36|23,960,889.45
其中：利息费用||141,828,613.31|82,337,500.13
利息收入||92,362,586.63|88,209,270.10
加：其他收益|67|206,813,795.66|146,219,381.65
投资收益（损失以“－”号填列）|68|606,231,164.30|47,547,344.27
其中：对联营企业和合营企业的投资收益||-90,751,984.66|-20,717,171.60
公允价值变动收益（损失以“－”号填列）|70|52,271,444.73|-259,256,661.49
信用减值损失（损失以“-”号填列）|71|-12,627,035.02|-43,165,168.85
资产减值损失（损失以“-”号填列）|72|-62,641,873.62|-1,433,429.40
资产处置收益（损失以“－”号填列）|73|-7,689,705.88|501,444.18
三、营业利润（亏损以“－”号填列）||3,389,484,982.27|2,340,924,402.96
加：营业外收入|74|5,450,731.50|6,654,145.52
减：营业外支出|75|25,560,017.86|10,610,024.52
四、利润总额（亏损总额以“－”号填列）||3,369,375,695.91|2,336,968,523.96
减：所得税费用|76|383,125,594.56|425,559,156.09
五、净利润（净亏损以“－”号填列）||2,986,250,101.35|1,911,409,367.87
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,986,250,101.35|1,911,409,367.87
2.终止经营净利润（净亏损以“－”号填列）||-|-
page|125
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,960,235,495.88|1,854,550,934.58
2.少数股东损益（净亏损以“-”号填列）||26,014,605.47|56,858,433.29
六、其他综合收益的税后净额|77|87,649,859.02|108,824,578.24
（一）归属母公司所有者的其他综合收益的税后净额||80,696,987.16|99,953,632.83
1.不能重分类进损益的其他综合收益||-|-
2．将重分类进损益的其他综合收益||80,696,987.16|99,953,632.83
（1）权益法下可转损益的其他综合收益||-|-
（2）其他债权投资公允价值变动||-|-
（3）金融资产重分类计入其他综合收益的金额||-|-
（4）其他债权投资信用减值准备||-|-
（5）现金流量套期储备||506,209,973.42|55,194,811.10
（6）外币财务报表折算差额||-425,512,986.26|44,758,821.73
（7）其他||-|-
（二）归属于少数股东的其他综合收益的税后净额||6,952,871.86|8,870,945.41
七、综合收益总额||3,073,899,960.37|2,020,233,946.11
（一）归属于母公司所有者的综合收益总额||3,040,932,483.04|1,954,504,567.41
（二）归属于少数股东的综合收益总额||32,967,477.33|65,729,378.70
八、每股收益：|||
（一）基本每股收益(元/股)||1.27|0.81
（二）稀释每股收益(元/股)||1.25|0.80
