page|127
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||16,864,396,002.64|12,475,873,299.32
收到的税费返还||527,941,923.03|341,062,694.23
收到其他与经营活动有关的现金|78(1)|350,449,691.74|519,327,138.38
经营活动现金流入小计||17,742,787,617.41|13,336,263,131.93
购买商品、接受劳务支付的现金||6,950,669,587.68|4,608,711,478.17
支付给职工及为职工支付的现金||5,021,478,050.29|4,305,138,591.87
支付的各项税费||575,861,757.26|463,298,266.44
支付其他与经营活动有关的现金|78(2)|1,221,049,999.72|1,043,082,482.75
经营活动现金流出小计||13,769,059,394.95|10,420,230,819.23
经营活动产生的现金流量净额||3,973,728,222.46|2,916,032,312.70
二、投资活动产生的现金流量：|||
收回投资收到的现金||894,487,953.33|554,782,822.76
取得投资收益收到的现金||70,772,479.36|118,318,229.02
处置固定资产、无形资产和其他长期资产收回的现金净额||8,589,708.03|15,845,734.61
处置子公司及其他营业单位收到的现金净额||-|-
收到其他与投资活动有关的现金||-|-
投资活动现金流入小计||973,850,140.72|688,946,786.39
购建固定资产、无形资产和其他长期资产支付的现金||3,031,035,295.82|2,531,798,710.91
投资支付的现金||6,532,528,680.04|2,347,173,129.76
page|128
取得子公司及其他营业单位支付的现金净额||186,054,350.18|784,773,261.70
支付其他与投资活动有关的现金||-|-
投资活动现金流出小计||9,749,618,326.04|5,663,745,102.37
投资活动产生的现金流量净额||-8,775,768,185.32|-4,974,798,315.98
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||13,162,166,778.46|769,301,649.65
其中：子公司吸收少数股东投资收到的现金||113,450,831.77|25,671,183.02
取得借款收到的现金||1,692,135,683.33|2,847,936,329.76
发行债券所收到的现金||-|2,079,462,000.00
收到其他与筹资活动有关的现金||-|-
筹资活动现金流入小计||14,854,302,461.79|5,696,699,979.41
偿还债务支付的现金||2,975,692,082.47|417,000,000.00
分配股利、利润或偿付利息支付的现金||638,115,045.48|730,477,417.14
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金|78(6)|1,352,447,873.20|2,991,361,809.62
筹资活动现金流出小计||4,966,255,001.15|4,138,839,226.76
筹资活动产生的现金流量净额||9,888,047,460.64|1,557,860,752.65
四、汇率变动对现金及现金等价物的影响||-81,243,302.04|-33,492,671.03
五、现金及现金等价物净增加额||5,004,764,195.74|-534,397,921.66
加：期初现金及现金等价物余额||5,223,292,858.56|5,757,690,780.22
六、期末现金及现金等价物余额||10,228,057,054.30|5,223,292,858.56
