page|120
项目|附注七|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|1|10,237,170,216.15|5,227,242,858.56
交易性金融资产|2|4,617,724,684.99|1,701,637,915.47
衍生金融资产|3|562,824,032.02|36,755,179.22
应收票据|4|2,500,000.00|24,734,692.87
应收账款|5|3,664,789,832.59|2,936,543,068.55
预付款项|7|175,731,609.47|92,158,061.18
其他应收款|8|33,916,022.02|30,891,335.36
其中：应收利息||2,247,270.86|5,229,133.59
应收股利||-|-
存货|9|2,685,858,968.33|1,742,485,452.79
合同资产|10|541,952,792.04|379,395,934.04
其他流动资产|13|536,871,759.36|491,189,419.80
流动资产合计||23,059,339,916.97|12,663,033,917.84
非流动资产：|||
长期股权投资|17|764,832,343.04|793,506,346.91
其他非流动金融资产|19|6,717,206,517.57|4,009,081,069.57
固定资产|21|5,710,067,919.14|4,332,721,080.60
在建工程|22|3,086,116,115.11|2,091,667,072.04
生产性生物资产|23|418,869,000.00|360,253,830.00
使用权资产|25|1,107,519,333.99|1,142,274,258.81
无形资产|26|997,663,520.66|918,038,106.73
商誉|28|1,391,759,037.62|1,362,176,212.72
长期待摊费用|29|1,357,522,536.54|1,253,832,614.95
递延所得税资产|30|300,900,804.32|262,215,448.66
其他非流动资产|31|1,379,368,653.59|50,334,411.99
非流动资产合计||23,231,825,781.58|16,576,100,452.98
资产总计||46,291,165,698.55|29,239,134,370.82
流动负债：|||
短期借款|32|1,230,010,900.00|1,604,257,325.12
交易性金融负债|33|16,507,997.00|19,498,803.04
衍生金融负债|34|858,612.35|86,378,137.81
应付票据|35|11,652,388.59|19,089,888.52
应付账款|36|929,731,152.30|573,097,931.92
page|121
合同负债|38|1,580,979,702.23|897,139,905.65
应付职工薪酬|39|1,139,557,476.59|758,376,758.94
应交税费|40|378,656,659.08|281,846,421.04
其他应付款|41|2,454,568,919.68|2,045,666,329.43
其中：应付利息||847,997.93|5,325,095.60
应付股利||-|-
一年内到期的非流动负债|43|177,436,405.49|348,097,143.48
其他流动负债|44|384,653.23|937,799.03
流动负债合计||7,920,344,866.54|6,634,386,443.98
非流动负债：|||
长期借款|45|-|762,400,000.00
应付债券|46|1,819,028,586.29|1,874,914,616.22
其中：优先股||-|-
永续债||-|-
租赁负债|47|1,067,102,918.35|1,104,688,525.91
递延收益|51|682,034,864.55|667,382,398.75
递延所得税负债|30|282,986,772.94|231,097,542.54
其他非流动负债|52|1,801,176,381.16|554,554,757.31
非流动负债合计||5,652,329,523.29|5,195,037,840.73
负债合计||13,572,674,389.83|11,829,424,284.71
所有者权益（或股东权益）：|||
实收资本（或股本）|53|2,441,684,821.00|1,651,126,531.00
资本公积|55|22,678,175,352.71|10,287,644,187.17
减：库存股|56|1,189,921,407.47|705,816,790.55
其他综合收益|57|236,942,350.53|156,245,363.37
专项储备|59||
盈余公积|60|238,896,564.09|146,215,359.82
未分配利润||8,087,965,408.92|5,776,840,758.26
归属于母公司所有者权益（或股东权益）合计||32,493,743,089.78|17,312,255,409.07
少数股东权益||224,748,218.94|97,454,677.04
所有者权益（或股东权益）合计||32,718,491,308.72|17,409,710,086.11
负债和所有者权益（或股东权益）总计||46,291,165,698.55|29,239,134,370.82
