page|6
|第二节  公司简介和主要财务指标
一、  公司信息|
公司的中文名称|重庆港股份有限公司
公司的中文简称|重庆港
公司的外文名称|Chongqing Port Co.,Ltd.
公司的外文名称缩写|CQP
公司的法定代表人|杨昌学
二、  联系人和联系方式|
|董事会秘书 证券事务代表
姓名 屈宏|赵鑫
联系地址 重庆市江北区海尔路 306 号|重庆市江北区海尔路 298 号
电话 023-63100700|023-63100700
传真 023-63100099|023-63100099
电子信箱 cqgjqh@126.com|xin1115@yeah.net
三、 基本情况简介|
公司注册地址|重庆市江北区鱼嘴镇福港大道1号附1号
公司注册地址的历史变更情况|2021年11月12日，公司注册地址由“重庆市九龙坡区盘
|龙镇盘龙五村113-13号”变更为“重庆市江北区鱼嘴镇
|福港大道1号附1号”。
公司办公地址|重庆市江北区海尔路298号
公司办公地址的邮政编码|400025
公司网址|http://wwww.cqggf.com.cn
电子信箱|cqg2000@126.com
四、 信息披露及备置地点|
公司披露年度报告的媒体名称及网址|上海证券报www.cnstock.com、证券时报www.stcn.com、
|中国证券报www.cs.com.cn
公司披露年度报告的证券交易所网址|www.sse.com.cn
公司年度报告备置地点|本公司资产证券部
