page|73
项目|附 注|2019 年度|2018 年度
一、营业总收入||5,553,987,177.55|5,048,655,734.02
其中：营业收入||5,553,987,177.55|5,048,655,734.02
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||5,560,460,005.19|4,871,503,420.69
其中：营业成本||5,039,498,645.03|4,376,864,297.42
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||44,770,625.11|47,194,548.23
销售费用||53,518,397.43|63,029,471.41
管理费用||178,339,732.12|152,891,215.40
研发费用||8,135,222.60|7,520,204.84
财务费用||236,197,382.90|224,003,683.39
其中：利息费用||240,340,394.18|225,917,991.57
利息收入||7,162,414.75|5,892,120.49
加：其他收益||29,313,997.39|25,030,831.21
投资收益（损失以“－”号填列）||2,795,330.80|1,205,082.45
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确|||
page|74
认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||33,045,251.58|
资产减值损失（损失以“-”号填列）||-1,363,337.77|-69,201,677.84
资产处置收益（损失以“－”号填列）||5,401,104.49|2,716,274.50
三、营业利润（亏损以“－”号填列）||62,719,518.85|136,902,823.65
加：营业外收入||36,554,097.13|133,566,012.00
减：营业外支出||62,956,786.35|205,847,186.67
四、利润总额（亏损总额以“－”号填列）||36,316,829.63|64,621,648.98
减：所得税费用||24,591,237.25|3,154,785.29
五、净利润（净亏损以“－”号填列）||11,725,592.38|61,466,863.69
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||11,725,592.38|61,466,863.69
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||18,971,493.42|64,269,966.66
2.少数股东损益（净亏损以“-”号填列）||-7,245,901.04|-2,803,102.97
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||11,725,592.38|61,466,863.69
（一）归属于母公司所有者的综合收益总额||18,971,493.42|64,269,966.66
（二）归属于少数股东的综合收益总额||-7,245,901.04|-2,803,102.97
八、每股收益：|||
（一）基本每股收益(元/股)||0.0192|0.0649
（二）稀释每股收益(元/股)||0.0192|0.0649
