page|73
项目|附 注|2021 年度|2020 年度
一、营业总收入||5,073,255,641.21|4,278,737,933.65
其中：营业收入||5,073,255,641.21|4,278,737,933.65
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||4,812,795,333.87|4,135,249,337.35
其中：营业成本||3,255,603,814.64|2,608,835,229.95
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
page|74
税金及附加||17,937,896.86|18,822,075.82
销售费用||876,743,869.66|800,529,948.72
管理费用||363,084,123.52|356,909,946.16
研发费用||101,269,535.84|90,897,025.42
财务费用||198,156,093.35|259,255,111.28
其中：利息费用||219,563,454.29|261,114,949.40
利息收入||9,902,716.12|15,202,093.41
加：其他收益||26,763,769.44|28,865,743.19
投资收益（损失以“－”号填列）||24,065,516.31|-27,333,817.73
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-13,959,226.22|18,587,280.56
信用减值损失（损失以“-”号填列）||-30,491,479.93|-4,065,676.89
资产减值损失（损失以“-”号填列）||-33,440,611.68|-8,835,775.95
资产处置收益（损失以“－”号填列）||-1,043,816.83|2,008,549.35
三、营业利润（亏损以“－”号填列）||232,354,458.43|152,714,898.83
加：营业外收入||1,786,462.95|655,183.95
减：营业外支出||717,467.53|4,397,404.60
四、利润总额（亏损总额以“－”号填列）||233,423,453.85|148,972,678.18
减：所得税费用||41,538,907.54|29,270,564.00
五、净利润（净亏损以“－”号填列）||191,884,546.31|119,702,114.18
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||191,884,546.31|119,702,114.18
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||177,908,525.50|103,850,669.82
2.少数股东损益（净亏损以“-”号填列）||13,976,020.81|15,851,444.36
六、其他综合收益的税后净额||-143,121,207.93|-87,228,103.16
（一）归属母公司所有者的其他综合收益的税后净额||-131,445,597.12|-74,995,211.32
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-131,445,597.12|-74,995,211.32
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-131,445,597.12|-74,995,211.32
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-11,675,610.81|-12,232,891.84
page|75
七、综合收益总额||48,763,338.38|32,474,011.02
（一）归属于母公司所有者的综合收益总额||46,462,928.38|28,855,458.50
（二）归属于少数股东的综合收益总额||2,300,410.00|3,618,552.52
八、每股收益：|||
（一）基本每股收益(元/股)||0.31|0.20
（二）稀释每股收益(元/股)||0.31|0.20
