page|60
项目|附 注|2020 年度|2019 年度
一、营业总收入||32,425,195,947.28|26,742,479,314.74
其中：营业收入|61|32,425,195,947.28|26,742,479,314.74
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||31,096,477,475.32|25,725,878,598.74
其中：营业成本|61|30,454,449,381.00|25,058,799,025.40
利息支出|||
手续费及佣金支出|||
退保金|||
page|61
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|117,279,990.44|96,060,182.27
销售费用|63|30,033,543.11|29,846,266.95
管理费用|64|367,842,790.18|395,100,535.46
研发费用|65|459,096,828.93|419,162,107.01
财务费用|66|-332,225,058.34|-273,089,518.35
其中：利息费用||44,251,275.95|32,557,004.93
利息收入||291,314,101.88|273,097,055.56
加：其他收益|67|101,881,097.83|158,466,764.54
投资收益（损失以“－”号填列）|68|98,842,994.64|106,044,748.91
其中：对联营企业和合营企业的投资收益||1,367,807.04|998,974.92
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|69||
公允价值变动收益（损失以“－”号填列）|70||
信用减值损失（损失以“-”号填列）|71|2,747,215.61|-11,506,945.08
资产减值损失（损失以“-”号填列）|72|-71,171,392.15|-43,444,518.86
资产处置收益（损失以“－”号填列）|73|9,420,227.37|-32,654.94
三、营业利润（亏损以“－”号填列）||1,470,438,615.26|1,226,128,110.57
加：营业外收入|74|2,047,319.70|10,535,334.62
减：营业外支出|75|43,463,138.28|18,102,466.01
四、利润总额（亏损总额以“－”号填列）||1,429,022,796.68|1,218,560,979.18
减：所得税费用|76|280,918,007.39|285,679,745.13
五、净利润（净亏损以“－”号填列）||1,148,104,789.29|932,881,234.05
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,148,104,789.29|932,881,234.05
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,133,229,562.10|917,844,644.04
2.少数股东损益（净亏损以“-”号填列）||14,875,227.19|15,036,590.01
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
page|62
七、综合收益总额||1,148,104,789.29|932,881,234.05
（一）归属于母公司所有者的综合收益总额||1,133,229,562.10|917,844,644.04
（二）归属于少数股东的综合收益总额||14,875,227.19|15,036,590.01
八、每股收益：|||
（一）基本每股收益(元/股)||0.34|0.27
（二）稀释每股收益(元/股)||0.34|0.27
