page|94
项            目|附注|2020 年度|2019 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,274,699,933.17|5,997,754,044.84
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||742,198.26|73,603,296.05
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|六、58|370,386,683.12|964,039,900.88
经营活动现金流入小计||2,645,828,814.55|7,035,397,241.77
购买商品、接受劳务支付的现金||1,312,974,163.48|4,643,056,687.25
客户贷款及垫款净增加额||111,972,066.22|-121,148,755.77
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||463,132,312.43|738,575,213.21
支付的各项税费||164,850,312.63|338,142,446.60
支付其他与经营活动有关的现金|六、58|419,239,537.62|994,393,708.41
经营活动现金流出小计||2,472,168,392.38|6,593,019,299.70
经营活动产生的现金流量净额||173,660,422.17|442,377,942.07
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||700,000.00|119,908.56
处置固定资产、无形资产和其他长期资产收回的现金净额||16,636,610.89|50,632,733.50
处置子公司及其他营业单位收到的现金净额||405,293,772.78|357,714,157.66
收到其他与投资活动有关的现金|六、58|8,814,412,631.84|6,121,592,277.23
投资活动现金流入小计||9,237,043,015.51|6,530,059,076.95
购建固定资产、无形资产和其他长期资产支付的现金||66,257,095.81|36,589,617.61
投资支付的现金|||2,690,832,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||315,992,970.00
支付其他与投资活动有关的现金|六、58|10,264,530,007.85|11,281,901,966.79
投资活动现金流出小计||10,330,787,103.66|14,325,316,554.40
投资活动产生的现金流量净额||-1,093,744,088.15|-7,795,257,477.45
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款所收到的现金||2,175,130,127.21|4,481,596,364.09
收到其他与筹资活动有关的现金|六、58|866,331,390.63|1,508,949,822.25
筹资活动现金流入小计||3,041,461,517.84|5,990,546,186.34
偿还债务所支付的现金||2,730,727,258.26|6,687,027,885.93
分配股利、利润或偿付利息所支付的现金||89,523,116.11|617,851,410.47
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|六、58|3,782,500.00|20,559,476.31
筹资活动现金流出小计||2,824,032,874.37|7,325,438,772.71
筹资活动产生的现金流量净额||217,428,643.47|-1,334,892,586.37
四、汇率变动对现金及现金等价物的影响||-6,623.17|-624,714.14
五、现金及现金等价物净增加额||-702,661,645.68|-8,688,396,835.89
加：期初现金及现金等价物余额||1,108,129,099.61|9,796,525,935.50
六、期末现金及现金等价物余额||405,467,453.93|1,108,129,099.61
