page|88
项目|附注|本期金额|上期金额|项目|附注|本期金额|上期金额
一、营业收入|五、37|19,391,616,442.61|21,705,342,235.59|六、其他综合收益的税后净额|五、51|-744,165,025.43|306,667,385.69
二、营业总成本||15,698,029,790.03|17,332,677,230.03|归属母公司所有者的其他综合收益的税后净额||-602,407,146.68|130,271,341.51
其中：营业成本|五、37|12,293,260,848.91|14,031,849,751.91|（一）不能重分类进损益的其他综合收益||-193,550,370.82|63,548,034.94
税金及附加|五、38|965,433,487.20|1,219,260,431.85|1、重新计量设定受益计划变动额|||
销售费用|五、39|1,309,647,603.25|1,100,050,134.33|2、权益法下不能转损益的其他综合收益||35,730,392.79|49,034,885.59
管理费用|五、40|853,272,338.32|815,886,331.32|3、其他权益工具投资公允价值变动||-229,280,763.61|14,513,149.35
研发费用||-||4、企业自身信用风险公允价值变动|||
财务费用|五、41|276,415,512.35|165,630,580.62|（二）将重分类进损益的其他综合收益||-408,856,775.86|66,723,306.57
其中：利息费用||343,691,974.94|236,625,605.42|1、权益法下可转损益的其他综合收益|||
利息收入||130,354,129.00|133,428,582.98|2、其他债权投资公允价值变动|||
加：其他收益|五、42|5,409,042.07|3,771,304.37|3、可供出售金融资产公允价值变动|||
投资收益（损失以“－”号填列）|五、43|-63,954,218.73|16,369,689.95|4、金融资产重分类计入其他综合收益的金额|||
其中：对联营企业和合营企业的投资收益||-67,097,665.94|19,422,527.98|5、持有至到期投资重分类为可供出售金融资产损益|||
以摊余成本计量的金融资产终于确认收益（损失以“－”号填列）||||6、其他债权投资信用减值准备|||
净敞口套期收益（损失以“－”号填列）||||7、现金流量套期储备（现金流量套期损益的有效部分）|||
公允价值变动收益（损失以“－”号填列）|五、44|-168,038,208.63|-|8、外币财务报表折算差额||1,131,278.33|33,598,533.53
信用减值损失（损失以“－”号填列）|五、45|-19,752,588.09|30,284,381.43|9、其他||-409,988,054.19|33,124,773.04
资产减值损失（损失以“－”号填列）|五、46|-465,781,035.36|-16,605,036.80||||
资产处置收益（损失以“-”号填列）|五、47|-17,667.25|58,193.08|归属于少数股东的其他综合收益的税后净额||-141,757,878.75|176,396,044.18
三、营业利润（亏损以“－”号填列）||2,981,451,976.59|4,406,543,537.59||||
加：营业外收入|五、48|94,193,360.56|123,567,386.98|七、综合收益总额||1,391,329,655.20|3,555,525,632.72
减：营业外支出|五、49|21,019,440.30|25,561,575.37|归属于母公司所有者的综合收益总额||358,609,643.14|1,680,438,178.95
四、利润总额（亏损总额以“－”号填列）||3,054,625,896.85|4,504,549,349.20|归属于少数股东的综合收益总额||1,032,720,012.06|1,875,087,453.77
减：所得税费用|五、50|919,131,216.22|1,255,691,102.17||||
五、净利润（净亏损以“－”号填列）||2,135,494,680.63|3,248,858,247.03|八、每股收益：|||
（一）按经营持续性分类：||||（一）基本每股收益（元/股）||0.26|0.41
1、持续经营净利润（净亏损以“－”号填列）||2,135,494,680.63|3,248,858,247.03|（二）稀释每股收益（元/股）||0.26|0.41
2、终止经营净利润（净亏损以“－”号填列）|||||||
（二）按所有权归属分类：|||||||
1、归属于母公司所有者的净利润（净亏损以“－”号填列）||961,016,789.82|1,550,166,837.44||||
1、少数股东损益（净亏损以“－”号填列）||1,174,477,890.81|1,698,691,409.59||||
