page|107
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,906,375,804.99|1,371,135,396.74
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净|||
page|108
额|||
收到的税费返还||6,345,804.52|4,471,607.22
收到其他与经营活动有关的现金||77,224,169.08|79,875,618.18
经营活动现金流入小计||2,989,945,778.59|1,455,482,622.14
购买商品、接受劳务支付的现金||2,339,874,865.37|823,224,069.88
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||355,392,298.58|165,863,019.92
支付的各项税费||55,980,120.92|36,880,137.59
支付其他与经营活动有关的现金||83,490,010.83|56,281,320.31
经营活动现金流出小计||2,834,737,295.70|1,082,248,547.70
经 营 活动 产生 的 现金 流量净额||155,208,482.89|373,234,074.44
二、投资活动产生的现金流量：|||
收回投资收到的现金||78,149,047.94|2,798,115.07
取得投资收益收到的现金||578,595.36|
处置固定资产、无形资产和其他长期资产收回的现金净额||110,888,629.52|69,259,643.46
处置子公司及其他营业单位收到的现金净额|||2,886,114.00
收到其他与投资活动有关的现金||9,192,722.58|132,456,393.85
投资活动现金流入小计||198,808,995.40|207,400,266.38
购建固定资产、无形资产和其他长期资产支付的现金||1,173,981,365.18|611,315,828.27
投资支付的现金||60,303,500.44|9,655,167.16
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||3,000,000.00
投资活动现金流出小计||1,234,284,865.62|623,970,995.43
投 资 活动 产生 的 现金 流量净额||-1,035,475,870.22|-416,570,729.05
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||419,999,954.00|1,300,000.00
其中：子公司吸收少数股东投资收到的现金|||1,300,000.00
page|109
取得借款收到的现金||1,281,886,609.41|553,638,917.21
收到其他与筹资活动有关的现金||321,410,652.21|152,816,715.68
筹资活动现金流入小计||2,023,297,215.62|707,755,632.89
偿还债务支付的现金||725,800,000.00|299,000,000.00
分配股利、利润或偿付利息支付的现金||97,600,141.67|38,043,425.30
其中：子公司支付给少数股东的股利、利润||2,271,337.55|
支付其他与筹资活动有关的现金||190,026,141.19|175,752,988.42
筹资活动现金流出小计||1,013,426,282.86|512,796,413.72
筹 资 活动 产生 的 现金 流量净额||1,009,870,932.76|194,959,219.17
四、汇率变动对现金及现金等价物的影响||181,803.28|-222,080.47
五、现金及现金等价物净增加额||129,785,348.71|151,400,484.09
加：期初现金及现金等价物余额||378,821,066.22|227,420,582.13
六、期末现金及现金等价物余额||508,606,414.93|378,821,066.22
