page|107
项目|附注(五)|本年金额|上年金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||178,911,705,871.18|124,430,020,607.24
收到的税费返还||210,603,969.12|201,729,168.37
收到的其他与经营活动有关的现金|61(1)|755,068,590.12|4,433,968,969.06
经营活动现金流入小计||179,877,378,430.42|129,065,718,744.67
购买商品、接受劳务支付的现金||164,689,040,889.30|112,356,590,717.10
支付给职工以及为职工支付的现金||2,821,176,646.71|2,186,110,884.36
支付的各项税费||4,441,568,895.75|3,730,988,386.09
支付的其他与经营活动有关的现金|61(2)|1,734,943,946.68|2,299,575,126.92
经营活动现金流出小计||173,686,730,378.44|120,573,265,114.47
经营活动产生的现金流量净额||6,190,648,051.98|8,492,453,630.20
二、投资活动产生的现金流量：|||
收回投资所收到的现金|61(3)|9,357,480,545.74|14,828,067,938.53
取得投资收益所收到的现金||202,617,528.10|610,308,701.04
处置固定资产，无形资产和其他长期资产而收到的现金净额||21,282,617.12|114,105,741.51
处置子公司及其他营业单位收到的现金净额||55,505,000.00|-
收到其他与投资活动有关的现金|61(4)|1,077,853,530.69|2,491,976,308.57
投资活动现金流入小计||10,714,739,221.65|18,044,458,689.65
购买或处置子公司和其他经营单位支付的现金||-|597,959,999.97
购建固定资产、无形资产和其他长期资产所支付的现金||4,281,675,570.51|7,621,789,128.23
投资支付的现金|61(5)|9,239,478,169.67|16,139,927,989.55
支付其他与投资活动有关的现金|61(6)|2,085,385,035.55|3,089,577,857.70
投资活动现金流出小计||15,606,538,775.73|27,449,254,975.45
投资活动产生的现金流量净额||(4,891,799,554.08)|(9,404,796,285.80)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,004,559,574.00|-
取得借款收到的现金||45,430,966,241.84|37,658,074,610.27
收到的其他与筹资活动有关的现金|61(7)|11,762,118,200.00|3,715,446,908.04
筹资活动现金流入小计||58,197,644,015.84|41,373,521,518.31
偿还债务所支付的现金||45,227,614,462.85|33,554,165,884.84
分配股利、利润和偿付利息所支付的现金||2,600,708,171.47|2,678,785,191.37
其中：子公司支付给少数股东的股利||165,166,381.80|41,759,360.00
支付其他与筹资活动有关的现金|61(8)|2,480,683,943.05|4,718,269,511.52
筹资活动现金流出小计||50,309,006,577.37|40,951,220,587.73
筹资活动产生的现金流量净额||7,888,637,438.47|422,300,930.58
四、汇率变动对现金及现金等价物的影响额||(243,745,530.93)|(453,255,348.58)
五、现金及现金等价物净增加(减少)额||8,943,740,405.44|(943,297,073.60)
加：年初现金及现金等价物余额|62(2)|11,448,950,438.25|12,392,247,511.85
六、年末现金及现金等价物余额|62(2)|20,392,690,843.69|11,448,950,438.25
