page|106
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,870,572,224.34|2,445,516,309.01
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
page|107
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||107,753,773.87|91,199,454.30
收到其他与经营活动有关的现金|78(1)|69,561,246.60|64,760,138.94
经营活动现金流入小计||3,047,887,244.81|2,601,475,902.25
购买商品、接受劳务支付的现金||1,513,356,237.89|1,682,842,814.90
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||450,574,737.15|399,083,919.35
支付的各项税费||33,027,381.02|37,625,094.24
支付其他与经营活动有关的现金|78(2)|123,908,504.97|141,311,254.82
经营活动现金流出小计||2,120,866,861.03|2,260,863,083.31
经营活动产生的现金流量净额||927,020,383.78|340,612,818.94
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,397,030,700.00|839,286,000.00
取得投资收益收到的现金||49,082,583.23|3,611,778.69
处置固定资产、无形资产和其他长期资产收回的现金净额||50,000.00|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|78(3)||2,000,000.00
投资活动现金流入小计||3,446,163,283.23|844,897,778.69
购建固定资产、无形资产和其他长期资产支付的现金||263,563,754.35|175,990,512.30
投资支付的现金||3,122,589,200.00|2,493,834,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||3,386,152,954.35|2,669,824,512.30
投资活动产生的现金流量净额||60,010,328.88|-1,824,926,733.61
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||1,519,457,600.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||1,519,457,600.00
偿还债务支付的现金||86,912,378.26|
分配股利、利润或偿付利息支付的现金||49,874,743.88|
其中：子公司支付给少数股东的股利、利润|||
page|108
支付其他与筹资活动有关的现金|78(6)||7,896,813.96
筹资活动现金流出小计||136,787,122.14|7,896,813.96
筹资活动产生的现金流量净额||-136,787,122.14|1,511,560,786.04
四、汇率变动对现金及现金等价物的影响||-45,723,772.18|7,323,648.66
五、现金及现金等价物净增加额||804,519,818.34|34,570,520.03
加：期初现金及现金等价物余额||421,808,410.96|387,237,890.93
六、期末现金及现金等价物余额||1,226,328,229.30|421,808,410.96
