page|103
项目|附注七|2020 年度|2019 年度
一、营业总收入||2,738,253,323.92|2,357,733,386.83
其中：营业收入|61|2,738,253,323.92|2,357,733,386.83
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,611,449,181.03|2,165,489,412.59
其中：营业成本|61|1,837,615,204.70|1,557,792,284.45
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|2,809,972.95|3,635,782.81
销售费用|63|74,883,786.08|63,998,631.02
管理费用|64|92,456,396.68|90,967,301.89
研发费用|65|577,753,681.65|461,745,366.70
财务费用|66|25,930,138.97|-12,649,954.28
其中：利息费用||540,343.88|-
page|104
利息收入||32,227,967.98|16,067,421.94
加：其他收益|67|9,642,723.22|12,602,943.79
投资收益（损失以“－”号填列）|68|10,945,420.28|-1,984,396.94
其中：对联营企业和合营企业的投资收益||-2,403,428.86|-2,984,629.55
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70|398,767.12|3,927,013.69
信用减值损失（损失以“-”号填列）|71|480,009.31|935,776.54
资产减值损失（损失以“-”号填列）|72|-26,522,944.10|-38,689,382.05
资产处置收益（损失以“－”号填列）|73|-|-
三、营业利润（亏损以“－”号填列）||121,748,118.72|169,035,929.27
加：营业外收入|74|85,896.99|355,555.26
减：营业外支出|75|3,041,437.10|268,462.81
四、利润总额（亏损总额以“－”号填列）||118,792,578.61|169,123,021.72
减：所得税费用|76|4,490,294.20|12,067,709.16
五、净利润（净亏损以“－”号填列）||114,302,284.41|157,055,312.56
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||114,302,284.41|157,055,312.56
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||114,834,440.99|158,041,814.36
2.少数股东损益（净亏损以“-”号填列）||-532,156.58|-986,501.80
六、其他综合收益的税后净额||-21,444,570.65|5,686,917.88
（一）归属母公司所有者的其他综合收益的税后净额||-21,444,570.65|5,686,917.88
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
page|105
2．将重分类进损益的其他综合收益||-21,444,570.65|5,686,917.88
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-21,444,570.65|5,686,917.88
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||92,857,713.76|162,742,230.44
（一）归属于母公司所有者的综合收益总额||93,389,870.34|163,728,732.24
（二）归属于少数股东的综合收益总额||-532,156.58|-986,501.80
八、每股收益：|||
（一）基本每股收益(元/股)||0.28|0.41
（二）稀释每股收益(元/股)||0.28|0.41
