page|88
项目|附注|2020 年度|2019 年度
一、营业总收入||11,517,165,757.65|5,788,080,067.37
其中：营业收入||11,517,165,757.65|5,788,080,067.37
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||10,468,321,156.23|5,677,880,804.03
其中：营业成本||9,529,061,468.02|5,050,516,209.37
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||15,534,475.65|10,745,491.30
销售费用||246,757,781.19|253,450,800.66
管理费用||432,442,531.12|196,097,668.23
研发费用||65,360,482.42|72,850,656.09
财务费用||179,164,417.83|94,219,978.38
其中：利息费用||187,635,153.11|92,649,859.49
利息收入||3,853,987.13|1,795,285.23
加：其他收益||29,479,034.99|15,057,540.54
投资收益（损失以“－”号填列）||5,889,658.56|-6,942,108.78
其中：对联营企业和合营企业的投资收益||-5,063,313.57|-6,814,048.60
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-23,685,443.99|
信用减值损失（损失以“-”号填列）||-84,515,200.18|-38,705,617.04
资产减值损失（损失以“-”号填列）||-6,568,944.08|-938,521.30
资产处置收益（损失以“－”号填列）||-3,822,022.81|-603,075.36
三、营业利润（亏损以“－”号填列）||965,621,683.91|78,067,481.40
加：营业外收入||40,492,335.45|8,097,418.44
减：营业外支出||35,594,949.78|8,423,676.14
四、利润总额（亏损总额以“－”号填列）||970,519,069.58|77,741,223.70
减：所得税费用||-23,085,963.59|-22,614,809.18
五、净利润（净亏损以“－”号填列）||993,605,033.17|100,356,032.88
（一）按经营持续性分类|||
page|89
1.持续经营净利润（净亏损以“－”号填列）||993,605,033.17|100,356,032.88
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||572,989,297.63|29,155,731.15
2.少数股东损益（净亏损以“-”号填列）||420,615,735.54|71,200,301.73
六、其他综合收益的税后净额||-1,150,940.67|-13,374,756.88
（一）归属母公司所有者的其他综合收益的税后净额||-1,150,940.67|-13,374,756.88
1．不能重分类进损益的其他综合收益||-1,150,940.67|-13,374,756.88
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-1,150,940.67|-13,374,756.88
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||992,454,092.50|86,981,276.00
（一）归属于母公司所有者的综合收益总额||571,838,356.96|15,780,974.27
（二）归属于少数股东的综合收益总额||420,615,735.54|71,200,301.73
八、每股收益：|||
（一）基本每股收益(元/股)||0.95|0.05
（二）稀释每股收益(元/股)||0.91|0.05
