page|88
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日|2021 年 1 月 1 日
流动资产：||||
货币资金|附注七、1|298,362,713.47|91,170,879.69|91,170,879.69
结算备付金||||
拆出资金||||
交易性金融资产|附注七、2|538,628,490.05|485,792,079.41|485,792,079.41
衍生金融资产||||
应收票据|附注七、4|43,468,586.79|46,904,261.33|46,904,261.33
应收账款|附注七、5|474,628,720.64|332,075,296.45|332,075,296.45
应收款项融资|附注七、6|151,274,494.89|206,473,574.83|206,473,574.83
预付款项|附注七、7|82,241,923.49|93,122,602.55|93,122,602.55
应收保费||||
应收分保账款||||
应收分保合同准备金||||
其他应收款|附注七、8|21,240,411.98|8,982,998.98|8,982,998.98
其中：应收利息||||
应收股利||||
买入返售金融资产||||
存货|附注七、9|221,733,274.12|228,998,205.16|228,998,205.16
合同资产|附注七、10|863,527.50|730,372.50|730,372.50
持有待售资产||||
一年内到期的非流动资产||||
其他流动资产|附注七、13|21,025,391.95|18,847,222.70|18,833,828.27
流动资产合计||1,853,467,534.88|1,513,097,493.60|1,513,084,099.17
非流动资产：||||
发放贷款和垫款||||
债权投资||||
其他债权投资||||
长期应收款||||
page|89
长期股权投资|附注七、17|303,125,071.46|226,963,340.26|226,963,340.26
其他权益工具投资||||
其他非流动金融资产|附注七、19|23,724,963.19|91,894,686.19|91,894,686.19
投资性房地产|附注七、20|9,830,103.52||
固定资产|附注七、21|352,239,144.42|328,267,986.12|328,267,986.12
在建工程|附注七、22|16,726,112.62|43,319,112.02|43,319,112.02
生产性生物资产||||
油气资产||||
使用权资产|附注七、25|11,566,216.01||173,138.38
无形资产|附注七、26|32,737,916.46|22,160,205.87|22,160,205.87
开发支出|附注七、27|10,447,710.79|21,237,160.58|21,237,160.58
商誉|附注七、28|214,035.49|214,035.49|214,035.49
长期待摊费用|附注七、29|73,018,355.63|77,146,522.53|77,146,522.53
递延所得税资产|附注七、30|118,327,672.13|85,227,102.53|85,227,102.53
其他非流动资产|附注七、31|20,177,398.54|7,649,186.12|7,649,186.12
非流动资产合计||972,134,700.26|904,079,337.71|904,252,476.09
资产总计||2,825,602,235.14|2,417,176,831.31|2,417,336,575.26
流动负债：||||
短期借款|附注七、32|45,000,000.00|20,000,000.00|20,000,000.00
向中央银行借款||||
拆入资金||||
交易性金融负债||||
衍生金融负债||||
page|90
应付票据|附注七、35|167,411,873.42|178,758,023.00|178,758,023.00
应付账款|附注七、36|204,876,310.95|197,103,834.12|197,103,834.12
预收款项|附注七、37|79,365.08|101,343.91|101,343.91
合同负债|附注七、38|36,853,789.95|41,677,245.32|41,677,245.32
卖出回购金融资产款||||
吸收存款及同业存放||||
代理买卖证券款||||
代理承销证券款||||
应付职工薪酬|附注七、39|28,411,453.82|20,480,216.66|20,480,216.66
应交税费|附注七、40|93,916,195.88|64,131,978.91|64,131,978.91
其他应付款|附注七、41|94,200,404.29|85,255,743.28|85,255,743.28
其中：应付利息||||
应付股利|附注七、41|1,663,362.12|1,517,985.60|1,517,985.60
应付手续费及佣金||||
应付分保账款||||
持有待售负债||||
一年内到期的非流动负债|附注七、43|3,263,320.86||80,367.00
其他流动负债|附注七、44|546,041,712.64|460,150,499.76|460,150,499.76
流动负债合计||1,220,054,426.89|1,067,658,884.96|1,067,739,251.96
非流动负债：||||
保险合同准备金||||
长期借款||||
应付债券||||
其中：优先股||||
永续债||||
租赁负债|附注七、47|8,734,132.94||79,376.95
长期应付款||||
page|91
长期应付职工薪酬||||
预计负债||||
递延收益|附注七、51|27,717,201.29|25,435,816.69|25,435,816.69
递延所得税负债|附注七、30|844,273.51|820,658.16|820,658.16
其他非流动负债||||
非流动负债合计||37,295,607.74|26,256,474.85|26,335,851.80
负债合计||1,257,350,034.63|1,093,915,359.81|1,094,075,103.76
所有者权益（或股东权益）：||||
实收资本（或股本）|附注七、53|153,398,600.00|153,398,600.00|153,398,600.00
其他权益工具||||
其中：优先股||||
永续债||||
资本公积|附注七、55|300,462,917.52|301,460,819.74|301,460,819.74
减：库存股||25,084,531.59|1,660,405.14|1,660,405.14
其他综合收益||||
专项储备||||
盈余公积|附注七、59|146,641,565.22|146,641,565.22|146,641,565.22
一般风险准备||||
未分配利润|附注七、60|985,795,440.86|717,067,215.21|717,067,215.21
归属于母公司所有者权益（或股东权益）合计||1,561,213,992.01|1,316,907,795.03|1,316,907,795.03
少数股东权益||7,038,208.50|6,353,676.47|6,353,676.47
所有者权益（或股东权益）合计||1,568,252,200.51|1,323,261,471.50|1,323,261,471.50
负债和所有者权益（或股东权益）总计||2,825,602,235.14|2,417,176,831.31|2,417,336,575.26
