page|64
项目|附注六|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||888,166,943.61|933,695,194.44
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,896,619.92|1,043,090.26
收到其他与经营活动有关的现金|注释 78|27,144,693.43|47,692,010.81
经营活动现金流入小计||917,208,256.96|982,430,295.51
购买商品、接受劳务支付的现金||406,945,571.59|445,893,713.31
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||196,629,294.73|204,772,827.74
支付的各项税费||53,359,538.65|51,724,584.49
支付其他与经营活动有关的现金|注释 78|98,439,604.86|109,064,220.77
经营活动现金流出小计||755,374,009.83|811,455,346.31
经营活动产生的现金流量净额|注释 79|161,834,247.13|170,974,949.20
二、投资活动产生的现金流量：|||
收回投资收到的现金||946,173,135.33|1,005,500,060.98
取得投资收益收到的现金||1,271,416.68|
处置固定资产、无形资产和其他长期资产收回的现金净额||6,721,483.61|3,507,716.21
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||954,166,035.62|1,009,007,777.19
购建固定资产、无形资产和其他长期资产支付的现金||35,516,406.74|48,530,633.82
page|65
投资支付的现金||1,043,928,946.37|1,189,023,243.81
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,079,445,353.11|1,237,553,877.63
投资活动产生的现金流量净额||-125,279,317.49|-228,546,100.44
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||10,000,000.00|
收到其他与筹资活动有关的现金|注释 78|9,754,422.22|
筹资活动现金流入小计||19,754,422.22|
偿还债务支付的现金||10,500,000.00|40,800,000.00
分配股利、利润或偿付利息支付的现金||117,659,503.15|60,271,804.61
其中：子公司支付给少数股东的股利、利润||28,915,004.04|9,449,143.49
支付其他与筹资活动有关的现金|注释 78|281,465,227.18|22,641.50
筹资活动现金流出小计||409,624,730.33|101,094,446.11
筹资活动产生的现金流量净额||-389,870,308.11|-101,094,446.11
四、汇率变动对现金及现金等价物的影响||-4,512,502.83|-14,809,630.17
五、现金及现金等价物净增加额||-357,827,881.30|-173,475,227.52
加：期初现金及现金等价物余额||892,562,835.94|1,066,038,063.46
六、期末现金及现金等价物余额||534,734,954.64|892,562,835.94
