page|103
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||388,850,423.14|260,129,642.55
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||5,897,124.25|3,928,065.32
收到其他与经营活动有关的现金|（五十）|8,549,373.69|9,478,015.56
经营活动现金流入小计||403,296,921.08|273,535,723.43
购买商品、接受劳务支付的现金||169,355,475.35|102,984,095.70
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||128,308,631.38|110,021,477.31
支付的各项税费||14,359,686.37|15,286,045.25
支付其他与经营活动有关的现金|（五十）|35,194,402.18|34,777,415.10
经营活动现金流出小计||347,218,195.28|263,069,033.36
经营活动产生的现金流量净额||56,078,725.80|10,466,690.07
二、投资活动产生的现金流量|||
收回投资收到的现金||616,000,000.00|650,000,000.00
取得投资收益收到的现金||41,657,946.50|6,855,081.63
处置固定资产、无形资产和其他长期资产收回的现金净额||150.00|2,030.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（五十）||100,000,000.00
投资活动现金流入小计||657,658,096.50|756,857,111.63
购建固定资产、无形资产和其他长期资产支付的现金||51,182,331.89|238,043,525.25
投资支付的现金||557,000,000.00|909,900,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|（五十一）|27,328,613.67|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||635,510,945.56|1,147,943,525.25
投资活动产生的现金流量净额||22,147,150.94|-391,086,413.62
三、筹资活动产生的现金流量|||
吸收投资收到的现金||32,774,955.85|642,547,905.63
其中：子公司吸收少数股东投资收到的现金||775,000.00|
取得借款收到的现金||4,100,000.00|5,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||36,874,955.85|647,547,905.63
偿还债务支付的现金||5,000,000.00|9,900,000.00
分配股利、利润或偿付利息支付的现金||319,227.67|30,709,115.71
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（五十）|74,197,465.04|70,940,834.65
筹资活动现金流出小计||79,516,692.71|111,549,950.36
筹资活动产生的现金流量净额||-42,641,736.86|535,997,955.27
四、汇率变动对现金及现金等价物的影响||-134,526.68|-400,580.55
五、现金及现金等价物净增加额||35,449,613.20|154,977,651.17
加：期初现金及现金等价物余额||277,608,079.24|122,630,428.07
六、期末现金及现金等价物余额||313,057,692.44|277,608,079.24
