page|101
项目|附注|本期金额|上期金额
一、营业总收入||137,918,587,181.17|109,994,810,619.50
其中：营业收入|五、（五十四）|137,288,977,645.02|109,456,514,419.15
利息收入|五、（五十五）|625,883,357.01|535,366,591.05
已赚保费|||
手续费及佣金收入|五、（五十六）|3,726,179.14|2,929,609.30
二、营业总成本||132,861,905,401.01|104,799,702,200.67
其中：营业成本|五、（五十四）|124,259,601,928.55|97,397,087,693.81
利息支出|五、（五十五）|141,327,469.05|121,063,549.12
手续费及佣金支出|五、（五十六）|379,675.34|1,344,325.36
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|五、（五十七）|381,825,090.27|297,970,088.74
销售费用|五、（五十八）|411,642,474.77|387,538,880.35
管理费用|五、（五十九）|2,465,619,795.76|2,260,431,501.22
研发费用|五、（六十）|4,738,980,023.95|3,802,023,536.62
财务费用|五、（六十一）|462,528,943.32|532,242,625.45
其中：利息费用||230,588,964.09|445,370,714.31
利息收入||279,341,746.47|473,460,734.78
加：其他收益|五、（六十二）|230,638,648.71|171,971,347.62
投资收益（损失以“-”号填列）|五、（六十三）|55,773,369.82|74,665,176.40
其中：对联营企业和合营企业的投资收益||36,087,626.97|-12,414,793.42
以摊余成本计量的金融资产终止确认收益||-143,409,843.05|
汇兑收益（损失以“-”号填列）||347,304.75|-3,318,514.08
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|五、（六十四）|726,231,771.98|-4,158,640.70
信用减值损失（损失以“-”号填列）|五、（六十五）|-149,971,427.22|-844,174,161.02
资产减值损失（损失以“-”号填列）|五、（六十六）|-294,078,069.07|-80,494,628.32
资产处置收益（损失以“-”号填列）|五、（六十七）|45,569,564.69|101,963,790.27
三、营业利润（亏损以“-”号填列）||5,671,192,943.82|4,611,562,789.00
加：营业外收入|五、（六十八）|435,929,567.84|71,132,729.65
减：营业外支出|五、（六十九）|65,830,295.72|138,834,773.05
四、利润总额（亏损总额以“-”号填列）||6,041,292,215.94|4,543,860,745.60
减：所得税费用|五、（七十）|1,037,460,703.94|701,699,067.51
五、净利润（净亏损以“-”号填列）||5,003,831,512.00|3,842,161,678.09
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||5,003,831,512.00|3,842,161,678.09
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||4,633,424,155.70|3,658,838,010.40
2．少数股东损益（净亏损以“-”号填列）||370,407,356.30|183,323,667.69
六、其他综合收益的税后净额|五、（五十）|-5,448,794.44|-74,671,486.38
归属于母公司所有者的其他综合收益的税后净额||-753,707.94|-65,231,553.95
（一）不能重分类进损益的其他综合收益||28,869,664.82|-36,079,984.59
1．重新计量设定受益计划变动额||-4,234,257.98|528,634.23
2．权益法下不能转损益的其他综合收益||-232,077.20|-681,478.57
3．其他权益工具投资公允价值变动||33,336,000.00|-35,927,140.25
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-29,623,372.76|-29,151,569.36
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动||14,618,381.16|2,043,299.35
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-44,241,753.92|-31,194,868.71
7．其他|||
归属于少数股东的其他综合收益的税后净额||-4,695,086.50|-9,439,932.43
七、综合收益总额||4,998,382,717.56|3,767,490,191.71
归属于母公司所有者的综合收益总额||4,632,670,447.76|3,593,606,456.45
归属于少数股东的综合收益总额||365,712,269.80|173,883,735.26
八、每股收益：|||
（一）基本每股收益（元/股）|五、（七十一）|0.84|0.71
（二）稀释每股收益（元/股）|五、（七十一）|0.84|0.71
