page|130
项目|附注|2021 年度|2020 年度
一、营业总收入||158,436,689,385.81|158,442,099,893.06
其中：营业收入|七、61|158,436,689,385.81|158,442,099,893.06
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||155,271,691,482.05|156,132,576,190.80
其中：营业成本|七、61|144,253,077,995.25|145,411,972,262.26
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|560,668,449.28|469,959,101.36
销售费用|七、63|5,146,205,405.79|4,783,901,508.87
管理费用|七、64|2,563,991,564.05|2,569,513,282.50
研发费用|||
财务费用|七、66|2,747,748,067.68|2,897,230,035.81
其中：利息费用||2,888,286,752.10|2,853,297,409.49
利息收入||397,380,842.89|346,772,484.60
加：其他收益|七、67|222,940,990.62|232,602,689.89
投资收益（损失以“－”号填列）|七、68|138,182,362.65|486,289,733.90
其中：对联营企业和合营企业的投资收益||112,142,614.32|213,164,712.49
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号|||
page|131
填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|-16,079,163.45|-57,535,298.07
信用减值损失（损失以“-”号填列）|七、71|-462,628,547.38|-494,604,691.31
资产减值损失（损失以“-”号填列）|七、72|-258,080,714.24|-143,871,798.78
资产处置收益（损失以“－”号填列）|七、73|116,459,666.87|-15,574,339.69
三、营业利润（亏损以“－”号填列）||2,905,792,498.83|2,316,829,998.20
加：营业外收入|七、74|61,540,179.58|82,448,195.83
减：营业外支出|七、75|52,050,053.63|45,248,273.87
四、利润总额（亏损总额以“－”号填列）||2,915,282,624.78|2,354,029,920.16
减：所得税费用|七、76|869,048,574.41|525,687,057.10
五、净利润（净亏损以“－”号填列）||2,046,234,050.37|1,828,342,863.06
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,046,234,050.37|1,828,342,863.06
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,608,516,840.09|1,515,718,797.11
2.少数股东损益（净亏损以“-”号填列）||437,717,210.28|312,624,065.95
六、其他综合收益的税后净额||130,373,074.15|133,081,766.54
（一）归属母公司所有者的其他综合收益的税后净额||91,606,572.57|96,060,999.79
1．不能重分类进损益的其他综合收益||1,700,000.00|-5,950,000.00
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||1,700,000.00|-5,950,000.00
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||89,906,572.57|102,010,999.79
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
page|132
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备||23,377,697.74|-8,358,370.88
（6）外币财务报表折算差额||61,213,205.70|82,593,798.93
（7）其他||5,315,669.13|27,775,571.74
（二）归属于少数股东的其他综合收益的税后净额||38,766,501.58|37,020,766.75
七、综合收益总额||2,176,607,124.52|1,961,424,629.60
（一）归属于母公司所有者的综合收益总额||1,700,123,412.66|1,611,779,796.90
（二）归属于少数股东的综合收益总额||476,483,711.86|349,644,832.70
八、每股收益：|||
（一）基本每股收益(元/股)||0.20|0.19
（二）稀释每股收益(元/股)||0.20|0.19
