page|58
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||712,113,686.13|609,037,605.00
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||4,665,928.16|26,983,289.90
收到其他与经营活动有关的现金|（七十七）|549,988,220.98|380,400,467.79
经营活动现金流入小计||1,266,767,835.27|1,016,421,362.69
购买商品、接受劳务支付的现金||228,556,520.85|250,355,749.27
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||274,101,248.59|248,104,221.74
支付的各项税费||19,813,378.23|23,197,604.71
page|59
支付其他与经营活动有关的现金|（七十七）|238,985,868.26|872,776,091.36
经营活动现金流出小计||761,457,015.93|1,394,433,667.08
经营活动产生的现金流量净额||505,310,819.34|-378,012,304.39
二、投资活动产生的现金流量：|||
收回投资收到的现金||509,324,784.72|1,474,566,050.35
取得投资收益收到的现金||4,599,229.77|6,944,567.81
处置固定资产、无形资产和其他长期资产收回的现金净额||236,947.09|2,048,778.84
处置子公司及其他营业单位收到的现金净额|||7,999.92
收到其他与投资活动有关的现金|||
投资活动现金流入小计||514,160,961.58|1,483,567,396.92
购建固定资产、无形资产和其他长期资产支付的现金||7,900,766.63|10,306,183.23
投资支付的现金||277,500,000.00|895,212,054.79
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||285,400,766.63|905,518,238.02
投资活动产生的现金流量净额||228,760,194.95|578,049,158.90
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||5,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||5,000,000.00
偿还债务支付的现金|||5,000,000.00
分配股利、利润或偿付利息支付的现金||349,020.42|32,987.50
其中：子公司支付给少数股东的股利、利润||349,020.42|
支付其他与筹资活动有关的现金|（七十七）|1,272,032.64|80,000,000.00
筹资活动现金流出小计||1,621,053.06|85,032,987.50
筹资活动产生的现金流量净额||-1,621,053.06|-80,032,987.50
四、汇率变动对现金及现金等价物的影响||6,822,204.42|8,815,127.47
五、现金及现金等价物净增加额||739,272,165.65|128,818,994.48
加：期初现金及现金等价物余额||510,116,758.78|381,297,764.30
六、期末现金及现金等价物余额||1,249,388,924.43|510,116,758.78
