page|162
项目|附注|2021 年度|2020 年度
一、营业总收入||360,073,662.62|215,627,265.99
其中：营业收入|七、61|360,073,662.62|215,627,265.99
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||321,528,459.77|198,568,197.86
其中：营业成本|七、61|210,413,900.65|108,094,267.88
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|2,407,053.58|1,755,143.69
销售费用|七、63|32,816,150.86|25,249,878.83
管理费用|七、64|20,003,314.04|19,032,684.96
研发费用|七、65|56,348,046.87|45,976,662.90
财务费用|七、66|-460,006.23|-1,540,440.40
其中：利息费用||1,084,757.01|-10,513.23
利息收入||1,639,831.03|1,584,460.84
加：其他收益|七、67|10,412,544.97|8,560,580.72
投资收益（损失以“－”号填列）|七、68|8,728,368.63|3,244,321.84
其中：对联营企业和合营企业的投资收益|||
page|163
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|1,719,741.30|66,739.73
信用减值损失（损失以“-”号填列）|七、71|-10,999,298.17|665,541.87
资产减值损失（损失以“-”号填列）|七、72|-3,437,211.79|-3,154,654.57
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||44,969,347.79|26,441,597.72
加：营业外收入|七、74|36,841.58|76,479.23
减：营业外支出|七、75|118,499.85|67,921.70
四、利润总额（亏损总额以“－”号填列）||44,887,689.52|26,450,155.25
减：所得税费用|七、76|2,850,352.49|-1,370,353.46
五、净利润（净亏损以“－”号填列）||42,037,337.03|27,820,508.71
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||42,037,337.03|27,820,508.71
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||42,037,337.03|27,820,508.71
page|164
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|七、77|-32,867.34|-97,059.01
（一）归属母公司所有者的其他综合收益的税后净额||-32,867.34|-97,059.01
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-32,867.34|-97,059.01
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-32,867.34|-97,059.01
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||42,004,469.69|27,723,449.70
page|165
（一）归属于母公司所有者的综合收益总额||42,004,469.69|27,723,449.70
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.42|0.33
（二）稀释每股收益(元/股)||0.42|0.33
