page|167
2021 年度|||
(除特别注明外，金额单位均为人民币元)|||
||本集团|
|附注五|2021 年度|2020 年度
一、 经营活动产生的现金流量|||
回购业务资金净增加额||12,583,930,903.54|33,014,378,722.71
收取利息、手续费及佣金的现金||27,215,766,270.05|22,868,734,584.60
代理买卖证券收到的现金净额||17,013,451,869.38|19,579,592,418.69
收到其他与经营活动有关的现金||25,634,548,967.88|5,629,193,076.37
|51(2)||
经营活动现金流入小计||82,447,698,010.85|81,091,898,802.37
为交易目的而持有的金融资产净增加额||11,216,329,865.92|38,819,836,364.22
拆入资金净减少额||500,000,000.00|240,000,000.00
融出资金净增加额||10,996,020,265.32|18,529,989,503.36
支付利息、手续费及佣金的现金||5,424,435,434.80|4,158,825,010.26
支付给职工以及为职工支付的现金||7,079,261,746.12|5,172,061,562.82
支付的各项税费||4,024,783,688.59|3,704,139,386.32
支付其他与经营活动有关的现金||32,087,447,540.74|31,223,452,357.09
|51(3)||
经营活动现金流出小计||71,328,278,541.49|101,848,304,184.07
经营活动产生的现金流量净额||11,119,419,469.36|(20,756,405,381.70)
|51(1)||
二、 投资活动产生的现金流量|||
收回投资收到的现金||2,416,148,686.05|-
收到其他与投资活动有关的现金||985,866.16|2,242,890.32
投资活动现金流入小计||2,417,134,552.21|2,242,890.32
投资支付的现金||-|10,981,666,121.93
购建固定资产、无形资产和其他长期资产支付的现金||620,360,763.14|432,773,708.74
投资活动现金流出小计||620,360,763.14|11,414,439,830.67
page|168
2021 年度|||
(除特别注明外，金额单位均为人民币元)|||
||本集团|
|附注五|2021 年度|2020 年度
三、 筹资活动产生的现金流量|||
吸收投资收到的现金||5,000,000,000.00|8,883,999,572.39
其中：上市募集资金总额||-|3,883,999,572.39
发行永续债收到的现金||5,000,000,000.00|5,000,000,000.00
取得借款收到的现金||26,794,483,453.15|21,634,588,351.24
发行债券收到的现金||153,316,326,457.35|166,509,293,539.06
筹资活动现金流入小计||185,110,809,910.50|197,027,881,462.69
偿还债务支付的现金||165,285,730,613.83|154,921,465,669.29
分配股利、利润或偿付利息支付的现金||6,478,291,575.34|5,854,125,231.46
其中：对普通股股东的利润分配||2,908,760,548.88|1,796,900,530.93
对其他权益工具持有者的分配所支付的现金||417,500,000.00|516,500,000.00
子公司支付给少数股东的股利、利润||10,826,652.27|3,807,300.00
赎回永续债支付的现金||-|5,000,000,000.00
支付其他与筹资活动有关的现金||835,202,900.54|427,427,158.93
筹资活动现金流出小计||172,599,225,089.71|166,203,018,059.68
筹资活动产生的现金流量净额||12,511,584,820.79|30,824,863,403.01
四、 汇率变动对现金及现金等价物的影响||(183,656,929.51)|(274,866,830.13)
五、 现金及现金等价物变动净额||25,244,121,149.71|(1,618,605,749.17)
加：年初现金及现金等价物余额||98,000,125,245.33|99,618,730,994.50
六、 年末现金及现金等价物余额||123,244,246,395.04|98,000,125,245.33
|51(4)||
