page|164
中信建投证券股份有限公司|||
合并利润表|||
2021 年度|||
(除特别注明外，金额单位均为人民币元)|||
||本集团|
|附注五|2021 年度|2020 年度
一、 营业收入||29,872,018,672.13|23,350,881,646.49
手续费及佣金净收入|40|13,436,621,139.61|12,024,387,749.85
其中：经纪业务手续费净收入||6,236,363,958.58|4,836,321,040.99
投资银行业务手续费净收入||5,631,368,359.53|5,856,571,140.77
资产管理业务手续费净收入||1,001,042,035.65|886,774,597.77
利息净收入|41|1,750,437,167.49|1,330,721,405.50
其中：利息收入||8,984,511,328.89|7,103,653,151.39
利息支出||7,234,074,161.40|5,772,931,745.89
投资收益|42|7,094,790,891.07|7,636,014,004.47
其中：对联营企业的投资损益||2,144,455.52|11,865,293.13
公允价值变动损益|43|931,436,287.10|1,049,173,618.48
汇兑损益||(33,121,750.41)|(16,471,131.91)
其他业务收入|44|6,602,468,658.66|1,244,158,505.62
其他收益||89,386,278.61|82,897,494.48
二、 营业支出||16,831,934,262.19|11,185,728,027.56
税金及附加|45|167,800,908.70|156,046,774.18
业务及管理费|46|10,379,299,236.34|8,427,842,465.14
信用减值损失|47|(297,871,033.09)|1,318,849,965.39
其他资产减值损失||31,290,949.22|77,323,820.28
其他业务成本|48|6,551,414,201.02|1,205,665,002.57
三、 营业利润||13,040,084,409.94|12,165,153,618.93
加：营业外收入||8,039,066.51|8,306,977.35
减：营业外支出||27,297,000.58|47,737,568.56
四、 利润总额||13,020,826,475.87|12,125,723,027.72
减：所得税费用|49|2,785,762,879.64|2,589,037,694.66
五、 净利润||10,235,063,596.23|9,536,685,333.06
(一)按经营持续性分类|||
—持续经营净利润||10,235,063,596.23|9,536,685,333.06
—终止经营净利润||-|-
(二)按所有权归属分类|||
—归属于母公司股东的净利润||10,238,703,346.84|9,509,428,800.25
—少数股东损益||(3,639,750.61)|27,256,532.81
page|165
||本集团|
|附注五|2021 年度|2020 年度
六、 其他综合收益的税后净额||368,065,962.25|(17,353,178.92)
归属于母公司股东的其他综合收益的税后净额|36(2)|368,065,962.25|(17,353,178.92)
不能重分类进损益的其他综合收益|||
其他权益工具投资公允价值变动||(67,745,455.08)|51,884,981.93
将重分类进损益的其他综合收益|||
1．权益法下可转损益的其他综合收益||24,902.02|8,593.37
2．其他债权投资公允价值变动||402,968,931.07|(187,329,000.42)
3．其他债权投资信用损失准备||91,515,128.86|218,252,676.96
4．外币财务报表折算差额||(58,697,544.62)|(100,170,430.76)
归属于少数股东的其他综合收益的税后净额||-|-
七、 综合收益总额||10,603,129,558.48|9,519,332,154.14
—归属于母公司股东的综合收益总额||10,606,769,309.09|9,492,075,621.33
—归属于少数股东的综合收益总额||(3,639,750.61)|27,256,532.81
八、 每股收益|||
基本及稀释每股收益(元/股)|50|1.25|1.20
