page|130
上海复旦张江生物医药股份有限公司|||
2020 年度合并现金流量表|||
(除特别注明外，金额单位为人民币元)|||
|附注|2020 年度|2019 年度
||合并|合并
一、经营活动产生的现金流量|||
销售产品、提供劳务收到的现金||802,045,045|968,262,544
收到其他与经营活动有关的现金|五(48)(a)|22,912,575|39,642,281
经营活动现金流入小计||824,957,620|1,007,904,825
购买商品、接受劳务支付的现金||(455,211,207)|(415,210,397)
支付给职工以及为职工支付的现金||(143,007,517)|(145,910,046)
支付的各项税费||(66,087,487)|(109,733,885)
支付其他与经营活动有关的现金|五(48)(b)|(47,648,115)|(67,817,885)
经营活动现金流出小计||(711,954,326)|(738,672,213)
经营活动产生的现金流量净额|五(48)(f)|113,003,294|269,232,612
二、投资活动使用的现金流量|||
处置固定资产收回的现金净额||12,026,152|2,618,284
处置子公司收到的现金净额||-|6,796,383
收到其他与投资活动有关的现金|五(48)(c)|3,104,949,369|1,669,829,279
投资活动现金流入小计||3,116,975,521|1,679,243,946
购建固定资产、无形资产和其他长期资产|||
支付的现金||(42,410,752)|(40,385,647)
取得合营企业支付的现金||(36,000,000)|-
支付其他与投资活动有关的现金|五(48)(d)|(3,085,100,000)|(1,660,000,000)
投资活动现金流出小计||(3,163,510,752)|(1,700,385,647)
投资活动使用的现金流量净额||(46,535,231)|(21,141,701)
三、筹资活动产生/(使用)的现金流量|||
吸收投资收到的现金||996,190,000|-
取得借款收到的现金||51,057,427|151,567,573
筹资活动现金流入小计||1,047,247,427|151,567,573
偿还债务支付的现金||(200,000,000)|(150,000,000)
分配股利、利润或偿付利息支付的现金||(69,766,270)|(70,197,535)
支付的其他与筹资活动有关的现金|五(48)(e)|(23,634,007)|(190,939,136)
筹资活动现金流出小计||(293,400,277)|(411,136,671)
筹资活动产生/(使用)的现金流量|||
净额||753,847,150|(259,569,098)
四、汇率变动对现金的影响额||(224,431)|56,181
五、现金净增加/(减少)额|五(48)(g)|820,090,782|(11,422,006)
加：年初现金余额|五(48)(g)|576,799,410|588,221,416
六、年末现金余额|五(48)(g)|1,396,890,192|576,799,410
