page|48
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||338,359,806.85|317,585,259.49
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,556,156.07|537,116.48
收到其他与经营活动有关的现金|六、42（1）|6,143,700.19|8,320,657.36
经营活动现金流入小计||347,059,663.11|326,443,033.33
购买商品、接受劳务支付的现金||163,583,219.80|156,267,145.83
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||70,273,996.86|66,541,966.59
支付的各项税费||22,188,804.72|24,618,126.62
支付其他与经营活动有关的现金|六、42（2）|87,803,026.16|48,949,784.90
经营活动现金流出小计|六、42（3）|343,849,047.54|296,377,023.94
经营活动产生的现金流量净额||3,210,615.57|30,066,009.39
二、投资活动产生的现金流量：|||
收回投资收到的现金|||18,000,000.00
取得投资收益收到的现金|||164,102.00
处置固定资产、无形资产和其他长期资产收回的现金净额|||1,002,226.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计|||19,166,328.00
购建固定资产、无形资产和其他长期资产支付的现金||5,686,597.24|4,865,986.07
投资支付的现金|||18,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||5,686,597.24|22,865,986.07
投资活动产生的现金流量净额||-5,686,597.24|-3,699,658.07
page|49
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||4,000,000.00|45,000,000.00
收到其他与筹资活动有关的现金|六、42（3）|20,000,000.00|
筹资活动现金流入小计||24,000,000.00|45,000,000.00
偿还债务支付的现金||47,000,000.00|15,000,000.00
分配股利、利润或偿付利息支付的现金||1,594,323.70|2,761,596.89
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||6,700,698.46|
筹资活动现金流出小计||55,295,022.16|17,761,596.89
筹资活动产生的现金流量净额||-31,295,022.16|27,238,403.11
四、汇率变动对现金及现金等价物的影响||1,475.91|301.10
五、现金及现金等价物净增加额||-33,769,527.92|53,605,055.53
加：期初现金及现金等价物余额||92,034,323.02|38,429,267.49
六、期末现金及现金等价物余额||58,264,795.10|92,034,323.02
