page|104
|||(经重列)
流动资产|||
货币资金|四(1)|8,105,320,953|9,438,414,350
应收票据||165,603|-
应收账款|四(2)|7,030,685,357|5,287,149,592
预付款项|四(3)|892,771,238|784,843,451
其他应收款|四(4)|2,429,475,558|518,641,769
存货|四(5)|2,998,894,539|1,683,995,018
合同资产|四(6)|4,754,820|3,342,276
一年内到期的非流动资产|四(7)|-|49,785,734
其他流动资产|四(8)|1,417,985,608|676,347,330
流动资产合计||22,880,053,676|18,442,519,520
非流动资产|||
长期股权投资|四(9)|8,072,208,350|7,297,733,122
其他权益工具投资|四(10)|3,232,028,682|3,548,888,015
投资性房地产|四(11)|378,796,932|131,191,258
固定资产|四(12)|56,943,126,256|54,492,626,175
在建工程|四(13)|8,634,727,069|9,254,620,377
使用权资产|四(14)|5,256,124,979|—
无形资产|四(15)|2,658,726,346|2,516,305,612
商誉|四(16)|139,983,037|2,449,886
长期待摊费用|四(17)|30,335,301|28,344,969
递延所得税资产|四(18)|1,235,089,217|504,657,706
其他非流动资产|四(19)|4,810,251,634|3,260,436,522
非流动资产合计||91,391,397,803|81,037,253,642
资产总计||114,271,451,479|99,479,773,162
page|105
2021 年 12 月 31 日|||
(除特别注明外，金额单位为人民币元)|||
||2021 年|2020 年
负债及股东权益|附注|12 月 31 日|12 月 31 日
|||(经重列)
流动负债|||
短期借款|四(21)|12,360,296,429|7,916,440,888
应付票据|四(22)|1,908,780,000|1,252,292,546
应付账款|四(23)|6,626,567,064|3,400,384,808
合同负债|四(24)|5,864,811|8,424,399
应付职工薪酬|四(25)|422,013,230|360,196,774
应交税费|四(26)|502,303,075|580,900,006
其他应付款|四(27)|10,569,763,778|7,814,572,869
一年内到期的非流动负债|四(28)|3,697,619,753|3,322,121,935
其他流动负债|四(29)|1,658,449,006|3,217,523,576
流动负债合计||37,751,657,146|27,872,857,801
非流动负债|||
长期借款|四(30)|28,940,577,856|21,922,680,540
应付债券|四(31)|8,693,083,422|1,499,542,911
租赁负债|四(32)|4,728,167,142|—
长期应付款|四(33)|121,779,223|3,266,131,306
递延收益|四(34)|163,611,515|171,652,762
长期应付职工薪酬|四(35)|415,480,262|278,637,302
递延所得税负债|四(18)|635,754,761|638,572,671
其他非流动负债|四(36)|75,469,729|200,970,029
非流动负债合计||43,773,923,910|27,978,187,521
负债合计||81,525,581,056|55,851,045,322
股东权益|||
股本|四(37)|5,250,283,986|5,250,283,986
资本公积|四(38)|4,295,429,055|8,014,211,278
其他综合收益|四(39)|1,750,011,571|1,957,175,481
盈余公积|四(40)|8,903,515,135|8,515,360,638
未分配利润|四(41)|2,985,840,058|8,083,048,238
归属于母公司股东权益合计||23,185,079,805|31,820,079,621
少数股东权益||9,560,790,618|11,808,648,219
股东权益合计||32,745,870,423|43,628,727,840
负债及股东权益总计||114,271,451,479|99,479,773,162
后附财务报表附注为财务报表的组成部分。|||
企|业负责人：王进                              主管会计工作的负责人：刘维                      会计机构负责人：蒙飞||
