page|106
||2019年|2018年|2019年|2018年
||12月31日|12月31日|12月31日|12月31日
资产|附注|合并|合并|公司|公司
资产|||||
|9/74(1)|11,768|8,945|10,972|8,259
货币资金|||||
以公允价值计量且其变动计入当期损益的|||||
|10|24,409|9,940|12,460|8,120
金融资产|||||
||5,682||5,307|
买入返售金融资产|||4,315||3,789
|11|8,671|7,999|8,193|7,625
应收利息|||||
|12|2,233|2,307|2,233|2,307
应收保费|||||
|13|188|246|188|246
应收分保账款|||||
|36|185|189|185|189
应收分保未到期责任准备金|||||
|36|44|16|44|16
应收分保未决赔款准备金|||||
|36|1,433|1,348|1,433|1,348
应收分保寿险责任准备金|||||
|36|1,178|892|1,178|892
应收分保长期健康险责任准备金|||||
|14|35,148|31,327|35,148|31,327
保户质押贷款|||||
|15/74(2)|3,890|3,897|3,511|3,851
其他应收款|||||
|16|64,040|64,690|63,780|64,130
定期存款|||||
|17|387,296|300,949|379,993|294,433
可供出售金融资产|||||
|18|246,212|214,531|246,090|214,472
持有至到期投资|||||
|19|49,434|50,509|38,364|39,902
归入贷款及应收款的投资|||||
|20/74(3)|4,917|4,792|40,998|30,742
长期股权投资|||||
|21|1,715|1,715|715|715
存出资本保证金|||||
|22|9,051|7,044|9,112|7,107
投资性房地产|||||
|23|10,165|7,455|7,719|5,689
固定资产|||||
|24|4,170|4,339|2,509|2,903
在建工程|||||
|25|1,152|–|1,114|–
使用权资产|||||
|26|3,726|3,665|1,736|1,672
无形资产|||||
|41|162|1,777|–|1,752
递延所得税资产|||||
|27|1,938|903|1,978|956
其他资产|||||
|69|163|139|163|139
独立账户资产|||||
||878,970||875,123|
资产总计|||733,929||732,581
page|107
||2019年|2018年|2019年|2018年
||12月31日|12月31日|12月31日|12月31日
负债及股东权益|附注|合并|合并|公司|公司
负债|||||
以公允价值计量且其变动计入当期损益的|||||
||501||–|
金融负债|||92||–
|29|68,190|12,959|67,964|12,894
卖出回购金融资产款|||||
||4,181||4,181|
预收保费|||1,808||1,808
||2,353||2,353|
应付手续费及佣金|||2,188||2,188
|30|220|462|220|462
应付分保账款|||||
|31|3,905|2,629|3,304|2,272
应付职工薪酬|||||
|32|289|1,460|87|1,437
应交税费|||||
|33|5,704|5,318|5,704|5,318
应付赔付款|||||
|34|2,533|2,084|2,647|2,029
其他应付款|||||
|35|46,366|40,359|46,366|40,359
保户储金及投资款|||||
|36|2,102|1,805|2,102|1,805
未到期责任准备金|||||
|36|1,611|1,064|1,611|1,064
未决赔款准备金|||||
|36|567,985|527,494|567,985|527,494
寿险责任准备金|||||
|36|86,493|64,257|86,493|64,257
长期健康险责任准备金|||||
|37|–|4,000|–|4,000
应付债券|||||
|38|961|–|921|–
租赁负债|||||
|39|29|29|29|29
预计负债|||||
|40|517|–|–|–
递延收益|||||
|41|298|59|244|–
递延所得税负债|||||
|42|119|133|117|131
其他负债|||||
|69|152|133|152|133
独立账户负债|||||
||794,509||792,480|
负债合计|||668,333||667,680
page|108
||2019年|2018年|2019年|2018年
||12月31日|12月31日|12月31日|12月31日
负债及股东权益|附注|合并|合并|公司|公司
股东权益|||||
|43|3,120|3,120|3,120|3,120
股本|||||
|44|23,870|23,914|23,868|23,912
资本公积|||||
|45|3,960|(2,791)|3,915|(2,813)
其他综合收益|||||
|46|7,357|5,226|7,357|5,226
盈余公积|||||
|46|6,067|4,707|6,053|4,707
一般风险准备|||||
|47|40,077|31,411|38,330|30,749
未分配利润|||||
||84,451||82,643|
归属于母公司股东的股东权益合计|||65,587||64,901
|48|10|9|–|–
少数股东权益|||||
||84,461||82,643|
股东权益合计|||65,596||64,901
||878,970||875,123|
负债及股东权益总计|||733,929||732,581
