page|46
项目|附注||2020 年 12 月 31 日  2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|1,301,730,562.45|1,264,770,468.92
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|七、4||
应收账款|七、5|199,686,974.57|181,792,199.19
应收款项融资|七、6|136,503,094.36|147,312,818.54
预付款项|七、7|148,338,969.43|203,022,355.51
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|32,106,389.31|41,650,317.69
其中：应收利息|||
应收股利||325,071.83|
买入返售金融资产|||
存货|七、9|2,674,560,409.07|3,019,692,464.98
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|120,463,429.33|225,111,990.19
流动资产合计||4,613,389,828.52|5,083,352,615.02
page|47
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资||七、17            105,644,494.12|84,761,253.63
其他权益工具投资|七、18|8,873,660.73|8,727,036.83
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|4,280,743,911.88|3,800,323,913.23
在建工程|七、22|61,352,371.63|477,193,988.91
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|370,491,923.45|382,235,261.75
开发支出|七、27|11,473,584.93|11,069,005.74
商誉|||
长期待摊费用|七、29|54,208,380.85|33,071,021.09
递延所得税资产|七、30|6,861,602.64|10,931,982.07
其他非流动资产|||
非流动资产合计||4,899,649,930.23|4,808,313,463.25
资产总计||9,513,039,758.75|9,891,666,078.27
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35||50,000,000.00
应付账款|七、36|796,665,556.61|642,008,522.40
预收款项|七、37|320,360.53|1,500,026,607.13
合同负债|七、38|594,908,902.18|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|4,813,884.40|5,759,730.86
应交税费|七、40|35,453,167.82|20,546,098.74
其他应付款|七、41|129,636,939.01|175,986,998.46
其中：应付利息|||5,091,666.67
应付股利||2,485,610.00|22,601,106.40
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|51,137,239.25|768,289,204.83
其他流动负债|七、44|70,740,244.98|
流动负债合计||1,683,676,294.78|3,162,617,162.42
非流动负债：|||
page|48
保险合同准备金|||
长期借款|七、45|410,000,000.00|400,000,000.00
应付债券|七、46|746,483,456.87|
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七、48|25,085,166.67|25,085,166.67
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|168,951,402.24|146,258,738.84
递延所得税负债|七、30|230,074,707.93|163,855,003.95
其他非流动负债|||
非流动负债合计||1,580,594,733.71|735,198,909.46
负债合计||3,264,271,028.49|3,897,816,071.88
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|1,305,521,874.00|1,305,521,874.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|158,133,150.00|157,795,593.00
减：库存股|||
其他综合收益|七、57|940,880.10|607,933.10
专项储备|七、58||
盈余公积|七、59|700,895,119.25|658,189,899.23
一般风险准备|||
未分配利润|七、60|4,063,336,079.83|3,849,046,909.42
归属于母公司所有者权益（或股东权益）合计||6,228,827,103.18|5,971,162,208.75
少数股东权益||19,941,627.08|22,687,797.64
所有者权益（或股东权益）合计||6,248,768,730.26|5,993,850,006.39
负债和所有者权益（或股东权益）总计||9,513,039,758.75|9,891,666,078.27
