page|82
|2020年12月31日|||
编制单位：富春科技股份有限公司|||（除特别注明外，金额单位均为人民币元）|
负债和股东权益|附注六|期末余额|期初余额|上期期末余额
流动负债：||||
短期借款|注释19|246,585,984.06|209,043,092.44|209,043,092.44
交易性金融负债||||
衍生金融负债||||
应付票据|注释20|16,000,000.00|9,000,000.00|9,000,000.00
应付账款|注释21|162,332,826.47|164,150,893.58|164,150,893.58
预收款项|注释22|3,000.00|3,000.00|55,925,106.14
合同负债|注释23|80,802,926.58|55,391,129.19|
应付职工薪酬|注释24|27,549,455.45|20,405,721.07|20,405,721.07
应交税费|注释25|18,617,675.67|15,056,498.50|14,842,650.35
其他应付款|注释26|38,080,101.16|214,338,803.88|214,338,803.88
持有待售负债||||
一年内到期的非流动负债|注释27|10,171,557.60|45,086,250.01|45,086,250.01
其他流动负债|注释28|7,777,664.50|4,171,732.51|
流动负债合计||607,921,191.49|736,647,121.18|732,792,517.47
非流动负债：||||
长期借款|注释29|104,583,923.00|173,053,334.87|173,053,334.87
应付债券||||
其中：优先股||||
永续债||||
长期应付款||||
长期应付职工薪酬||||
预计负债|注释30|92,000.00|3,503,100.00|3,488,100.00
递延收益|注释31|||2,476,606.08
递延所得税负债||||
其他非流动负债|注释32|651,688.17|158,380.00|
非流动负债合计||105,327,611.17|176,714,814.87|179,018,040.95
负债合计||713,248,802.66|913,361,936.05|911,810,558.42
股东权益：||||
股本|注释33|691,229,485.00|710,800,925.00|710,800,925.00
其他权益工具||||
其中：优先股||||
永续债||||
资本公积|注释34|207,017,874.77|283,888,987.30|283,888,987.30
减：库存股||||
其他综合收益|注释35|351,995.58|462,931.71|462,931.71
专项储备||||
盈余公积|注释36|17,963,300.94|17,963,300.94|17,963,300.94
未分配利润|注释37|-467,519,125.94|-504,488,572.61|-513,468,655.96
归属于母公司股东权益合计||449,043,530.35|508,627,572.34|499,647,488.99
少数股东权益||10,440,381.41|9,967,474.02|8,621,595.04
股东权益合计||459,483,911.76|518,595,046.36|508,269,084.03
负债和股东权益总计||1,172,732,714.42|1,431,956,982.41|1,420,079,642.45
page|83
|2020年度||
编制单位：富春科技股份有限公司|||（除特别注明外，金额单位均为人民币元）
项目|附注六|本期金额|上期金额
一、营业收入|注释38|485,867,868.88|467,666,388.11
减： 营业成本|注释38|222,075,009.88|208,886,575.93
税金及附加|注释39|2,514,397.67|2,030,394.87
销售费用|注释40|36,541,287.02|119,518,342.85
管理费用|注释41|58,865,916.08|54,739,332.03
研发费用|注释42|71,437,345.89|77,501,146.61
财务费用|注释43|25,848,070.61|26,267,244.82
其中：利息费用||24,579,543.01|25,591,394.52
利息收入||1,716,973.12|261,248.72
加： 其他收益|注释44|6,180,813.24|2,361,707.14
投资收益（损失以“-”号填列）|注释45|47,944,117.82|250,760,918.86
其中：对联营企业和合营企业的投资收益||4,968,220.08|-6,600,843.42
以摊余成本计量的金融资产终止确认收益|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|注释46|-4,660,000.00|71,693,761.70
信用减值损失（损失以“-”号填列）|注释47|-71,101,233.36|-96,789,360.29
资产减值损失（损失以“-”号填列）|注释48|-2,372,430.47|-733,391,509.07
资产处置收益（损失以“-”号填列）|注释49|-54,687.59|-178.15
二、营业利润（亏损以“-”号填列）||44,522,421.37|-526,641,308.81
加： 营业外收入|注释50|10,482,099.14|534,519.17
减： 营业外支出|注释51|366,599.60|3,771,689.12
三、利润总额（亏损总额以“-”号填列）||54,637,920.91|-529,878,478.76
减： 所得税费用|注释52|18,973,299.81|31,185,514.37
四、净利润（净亏损以“-”号填列）||35,664,621.10|-561,063,993.13
其中：同一控制下企业合并被合并方在合并前实现的净利润|||
（一）按经营持续性分类|||
持续经营净利润（净亏损以“-”号填列）||42,937,835.23|-538,023,856.07
终止经营净利润（净亏损以“-”号填列）||-7,273,214.13|-23,040,137.06
（二）按所有权归属分类|||
归属于母公司所有者的净利润（净亏损以“-”号填列）||36,711,713.68|-560,942,227.26
少数股东损益（净亏损以“-”号填列）||-1,047,092.58|-121,765.87
五、其他综合收益的税后净额||-110,936.13|-138,429.64
归属于母公司所有者的其他综合收益的税后净额||-110,936.13|-138,429.64
（一）不能重分类进损益的其他综合收益|||
1. 重新计量设定受益计划净变动额|||
2. 权益法下不能转损益的其他综合收益|||
3. 其他权益工具投资公允价值变动|||
4. 企业自身信用风险公允价值变动|||
5. 其他|||
（二）将重分类进损益的其他综合收益||-110,936.13|-138,429.64
1. 权益法下可转损益的其他综合收益|||
2. 其他债权投资公允价值变动|||
3. 金融资产重分类计入其他综合收益的金额|||
4. 其他债权投资信用减值准备|||
5. 现金流量套期储备|||
6. 外币财务报表折算差额||-110,936.13|-138,429.64
7. 一揽子处置子公司在丧失控制权之前产生的投资收益|||
8. 其他资产转换为公允价值模式计量的投资性房地产|||
9. 其他|||
归属于少数股东的其他综合收益的税后净额|||
六、综合收益总额||35,553,684.97|-561,202,422.77
归属于母公司所有者的综合收益总额||36,600,777.55|-561,080,656.90
归属于少数股东的综合收益总额||-1,047,092.58|-121,765.87
七、每股收益：|||
（一）基本每股收益||0.05|-0.78
（二）稀释每股收益||0.05|-0.78
