page|86
项目|附注|2021 年度|2020 年度|
一、营业总收入||1,122,235,684.49|1,004,251,309.09|
其中：营业收入||1,122,235,684.49|1,004,251,309.09|
利息收入||||
已赚保费||||
手续费及佣金收入||||
二、营业总成本||1,012,460,593.22|917,914,999.95|
其中：营业成本||783,744,459.96|694,934,591.86|
利息支出||||
手续费及佣金支出||||
退保金||||
赔付支出净额||||
提取保险责任准备金净额||||
保单红利支出||||
分保费用||||
税金及附加||3,910,273.94|2,766,009.77|
销售费用||131,372,432.55|117,852,942.51|
管理费用||62,196,003.04|53,193,113.34|
研发费用||34,925,810.11|46,551,501.94|
财务费用||-3,688,386.38|2,616,840.53|
其中：利息费用||1,543,840.61|3,422,706.91|
利息收入||4,732,841.29|691,620.09|
加：其他收益||3,916,910.83|5,647,723.94|
投资收益（损失以“－”号填列）||2,624,842.41|20,590,784.15|
其中：对联营企业和合营企业的投资收益||-2,615,006.20|-338,530.92|
page|87
以摊余成本计量的金融资产终止确认收益||||
汇兑收益（损失以“－”号填列）||||
净敞口套期收益（损失以“-”号填列）||||
公允价值变动收益（损失以“－”号填列）||||
信用减值损失（损失以“-”号填列）||3,337,744.70|-1,222,759.23|
资产减值损失（损失以“-”号填列）||-14,028,915.38|-12,162,087.65|
资产处置收益（损失以“－”号填列）||60,770.79||
三、营业利润（亏损以“－”号填列）||105,686,444.62|99,189,970.35|
加：营业外收入||400.00||
减：营业外支出||1,104,091.63|35,068.34|
四、利润总额（亏损总额以“－”号填列）||104,582,752.99|99,154,902.01|
减：所得税费用||16,965,931.84|10,612,914.03|
五、净利润（净亏损以“－”号填列）||87,616,821.15|88,541,987.98|
（一）按经营持续性分类||||
1.持续经营净利润（净亏损以“－”号填列）||87,616,821.15|88,541,987.98|
2.终止经营净利润（净亏损以“－”号填列）||||
（二）按所有权归属分类||||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||88,648,222.43|88,541,987.98|
2.少数股东损益（净亏损以“-”号填列）||-1,031,401.28||
六、其他综合收益的税后净额||-131,316.08|-289,814.64|
（一）归属母公司所有者的其他综合收益的税后净额||-131,316.08|-289,814.64|
1．不能重分类进损益的其他综合收益||||
（1）重新计量设定受益计划变动额||||
（2）权益法下不能转损益的其他综合收益||||
（3）其他权益工具投资公允价值变动||||
（4）企业自身信用风险公允价值变动||||
page|88
2．将重分类进损益的其他综合收益||-131,316.08|-289,814.64|
（1）权益法下可转损益的其他综合收益||||
（2）其他债权投资公允价值变动||||
（3）金融资产重分类计入其他综合收益的金额||||
（4）其他债权投资信用减值准备||||
（5）现金流量套期储备||||
（6）外币财务报表折算差额||-131,316.08|-289,814.64|
（7）其他||||
（二）归属于少数股东的其他综合收益的税后净额||||
七、综合收益总额||87,485,505.07|88,252,173.34|
（一）归属于母公司所有者的综合收益总额||88,516,906.35|88,252,173.34|
（二）归属于少数股东的综合收益总额||-1,031,401.28||
八、每股收益：||||
（一）基本每股收益(元/股)||0.25|0.29|
（二）稀释每股收益(元/股)||0.25|0.29|
