page|66
项目|附 注|2020 年度|2019 年度
一、营业总收入||1,486,336,159.28|1,590,227,659.57
其中：营业收入||1,486,336,159.28|1,590,227,659.57
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,353,730,324.60|1,454,949,159.39
其中：营业成本||1,143,937,948.11|1,181,874,966.73
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||13,262,957.89|14,875,881.17
销售费用||30,560,523.84|73,246,657.22
管理费用||101,775,638.20|100,767,697.04
研发费用||55,011,745.21|70,302,973.89
财务费用||9,181,511.35|13,880,983.34
其中：利息费用||11,385,840.76|15,986,885.18
利息收入||3,581,077.66|2,659,039.07
加：其他收益||9,221,991.91|9,652,429.73
投资收益（损失以“－”号填列）|||19,726.08
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-225,346.65|392,508.19
资产减值损失（损失以“-”号填列）||-14,206,775.71|-10,929,539.21
资产处置收益（损失以“－”号填列）||30,936.37|34,373.36
三、营业利润（亏损以“－”号填列）||127,426,640.60|134,447,998.33
加：营业外收入||10,091,093.66|605,818.17
减：营业外支出||2,255,473.00|1,872,044.65
四、利润总额（亏损总额以“－”号填列）||135,262,261.26|133,181,771.85
减：所得税费用||18,614,792.53|16,473,385.10
五、净利润（净亏损以“－”号填列）||116,647,468.73|116,708,386.75
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||116,647,468.73|116,708,386.75
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||117,863,853.00|114,430,882.70
2.少数股东损益（净亏损以“-”号填列）||-1,216,384.27|2,277,504.05
六、其他综合收益的税后净额||139,588.06|59,367.06
（一）归属母公司所有者的其他综合收益的税后净额||83,752.83|35,620.24
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
page|67
2．将重分类进损益的其他综合收益||83,752.83|35,620.24
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||83,752.83|35,620.24
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||55,835.23|23,746.82
七、综合收益总额||116,787,056.79|116,767,753.81
（一）归属于母公司所有者的综合收益总额||117,947,605.83|114,466,502.94
（二）归属于少数股东的综合收益总额||-1,160,549.04|2,301,250.87
八、每股收益：|||
（一）基本每股收益(元/股)||0.35|0.34
（二）稀释每股收益(元/股)||0.35|0.34
