page|21
合并资产负债表|期末余额（2020.12.31）|期初余额（2019.12.31）|增减变动|原因
货币资金|657,657,965.04|396,629,924.32|65.81% 主要本期是销售回款及银行借款增加所致|
应收账款|20,505,428.42|14,686,408.75|39.62% 主要是本期应收货款增加所致|
预付款项|4,266,692.96|2,818,419.37|51.39% 主要是本期预付货款增加所致|
其他应收款|42,612,565.34|233,916,103.19|-81.78% 主要是本期收回土地竞拍保证金所致|
应收股利|5,000,000.00|-|100.00%|主要是本期应收东莞民营投资集团有限公司已宣告分配的利润增加所致
其他流动资产|14,003,716.14|1,870,199.86|648.78% 主要是本期合同取得成本增加所致|
长期应收款|480,955,549.58|194,581,085.27||147.17% 主要是本期与万科合作项目相关的股东借款款增加所致
长期股权投资|124,704,989.03|96,451,086.48||29.29% 主要是本期与万科合作项目增加导致投资款增加所致
在建工程|682,858.75|409,947.29|66.57% 主要是新裕公司工程投入增加所致|
长期待摊费用|2,506,780.49|1,336,840.78||87.52% 主要是新裕公司租入厂房改建费用支出增加所致
递延所得税资产|92,594,289.43|59,269,366.08|56.23%|主要是本期确认可弥补亏损及未付费用影响的递延所得税资产增加所致
应付账款|107,588,389.49|164,534,241.61|-34.61% 主要是本期应付工程款减少所致|
预收款项|-|100,406,066.12|-100.00% 主要是本期重分类至合同负债所致|
合同负债|213,207,326.60|-|100.00% 主要是本期预收款项重分类至合同负债所致|
应交税费|161,367,346.61|114,711,692.52|40.67% 主要是本期应付土地增值税增加所致|
其他应付款|145,449,864.89|109,536,684.31|32.79% 主要是本期应付往来款增加所致|
一年内到期的非流动负债|350,793,887.47|15,803,355.69|2119.74% 主要是本期一年内到期的长期借款增加所致|
其他流动负债|11,192,566.55|170,625.00|6459.75% 主要是本期合同负债待转销税项增加所致|
长期借款|227,150,000.00|428,750,000.00||-47.02% 主要是本期一年内到期的长期借款重分类至非流动负债所致
长期应付款|6,733.67|40,534.66|-83.39% 主要是本期融资租赁设备应付款项减少所致|
库存股|-|47,433,650.00|-100.00% 主要是本期回购注销股权激励限制性股票所致|
page|22
专项储备|1,232,296.83|1,790,896.83|-31.19% 主要是本期煤矿专项储备减少所致|
未分配利润|167,323,361.47|350,712,432.88|-52.29% 主要是本期经营亏损所致|
少数股东权益|437,867.00|4,565,851.47||-90.41% 主要是本期新裕公司亏损导致少数股东权益减少所致
合并利润表|本年发生额|上年发生额|增减变动|原因
税金及附加|161,098,580.85|52,174,701.75|208.77% 主要是本期计提房地产项目土地增值税增加所致|
研发费用|10,111,633.15|-||100.00% 主要是本期新裕公司 1#富养侧吹炉的研发投入增加所致
财务费用|42,887,382.62|23,042,397.88||86.12% 主要是本期银行贷款增加及帝庭山项目竣工停止利息资本化所致
利息费用|45,123,009.65|31,344,683.52||43.96% 主要是本期银行贷款增加及帝庭山项目竣工停止利息资本化所致
利息收入|4,571,304.66|9,842,602.02|-53.56% 主要是本期理财利息收入减少所致|
投资收益|4,108,044.17|87,463,914.39|-95.30%|主要是与万科合作项目因收入未达确认条件而导致本期确认的投资收益减少所致
对联营企业和合营企业的投资收益|-891,955.83|87,007,750.01|-101.03%|主要是与万科合作项目因收入未达确认条件而导致本期确认的投资收益减少所致
信用减值损失|-1,678,634.22|-16,326,573.44|-89.72% 主要是本期应收款项坏账损失减少所致|
资产减值损失|-1,938,855.50|-40,154,343.93||-95.17% 主要是本期存货跌价损失减少且商誉未发生减值损失所致
营业利润|-125,751,060.41|93,212,983.75||-234.91% 主要是本期计提房地产项目土地增值税增加及投资收益减少所致
营业外收入|2,514,045.00|367,069.13|584.90% 主要是本期处置无需支付的款项增加所致|
营业外支出|7,354,662.90|13,105,690.29|-43.88% 主要是本期固定资产报废损失减少所致|
利润总额|-130,591,678.31|80,474,362.59||-262.28% 主要是本期计提房地产项目土地增值税增加及投资收益减少所致
所得税费用|-10,222,491.53|24,990,376.15||-140.91% 主要是本期利润总额减少以及递延所得税费费用减少所致
净利润|-120,369,186.78|55,483,986.44||-316.94% 主要是本期计提房地产项目土地增值税增加及投资收益减少所致
合并现金流量表|本年发生额|上年发生额|增减变动|原因
销售商品、提供劳务收到的现金|968,978,091.83|713,569,871.14|35.79% 主要是本期房地产项目预收楼款增加所致|
收到的税费返还|7,356,283.89|18,793,105.36|-60.86% 主要是本期新裕公司收到的增值税返还减少所致|
收到其他与经营活动有关的现金|471,881,197.44|247,820,369.41||90.41% 主要是本期收到的土地竞拍保证金增加所致
经营活动现金流入小计|1,448,215,573.16|980,183,345.91|47.75%|主要是本期房地产项目预收楼款增加以及收到的土地竞拍保证金增加所致
支付的各项税费|141,942,897.62|80,761,239.51||75.76% 主要是本期支付房地产项目土地增值税增加所致
经营活动产生的现金流量净额|265,125,813.91|-292,783,060.66||190.55% 主要是本期房地产项目预收楼款增加以及支付的工程款减少所致
取得投资收益收到的现|19,038,862.33|456,164.38|4073.68% 主要是本期收到投资项目分配的利润增加所致|
page|23
金||||
处置固定资产、无形资产和其他长期资产收回的现金净额|276,663.08|548,739.79|-49.58% 主要是本期处置固定资产收到的现金减少所致|
收到其他与投资活动有关的现金|458,281,085.27|313,700,000.00||46.09% 主要是本期收到与万科合作项目归还的股东借款增加所致
投资活动现金流入小计|477,596,610.68|314,704,904.17||51.76% 主要是本期收到与万科合作项目归还的股东借款增加所致
投资支付的现金|58,705,769.20|-||100.00% 主要是本期与万科合作项目增加导致投股权资款增加所致
支付其他与投资活动有关的现金|458,361,761.97|50,000,000.00|816.72% 主要是本期向合作项目提供股东借款增加所致|
投资活动现金流出小计|523,454,990.59|58,233,425.16||798.89% 主要是本期向合作项目提供股东借款及新增股权投资款所致
投资活动产生的现金流量净额|-45,858,379.91|256,471,479.01||-117.88% 主要是本期向合作项目提供股东借款及新增股权投资款所致
吸收投资收到的现金|245,000.00|1,275,000.00||-80.78% 主要是本期新裕公司下属子公司收到的少数股东投入款减少所致
取得借款收到的现金|851,000,000.00|238,000,000.00|257.56% 主要是本期银行借款增加所致|
收到其他与筹资活动有关的现金|-|80,000,000.00|-100.00% 主要是本期没有发生其他筹资活动相关业务所致|
