page|103
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
page|104
销售商品、提供劳务收到的现金||1,720,693,589.10|1,680,199,305.58
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,174,742.32|2,294,790.40
收到其他与经营活动有关的现金|七、76|45,221,944.72|48,283,780.47
经营活动现金流入小计||1,767,090,276.14|1,730,777,876.45
购买商品、接受劳务支付的现金||822,094,252.77|819,358,710.78
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||153,572,980.45|144,677,915.86
支付的各项税费||146,223,652.87|171,638,679.01
支付其他与经营活动有关的现金|七、76|226,421,856.43|243,061,774.73
经营活动现金流出小计||1,348,312,742.52|1,378,737,080.38
经营活动产生的现金流量净额||418,777,533.62|352,040,796.07
二、投资活动产生的现金流量：|||
收回投资收到的现金||181,560,176.26|412,568,400.00
取得投资收益收到的现金||22,942,281.62|4,079,408.09
处置固定资产、无形资产和其他长期资产收回的现金净额||708,453.69|64,369.61
page|105
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、76|80,000,000.00|34,835,000.00
投资活动现金流入小计||285,210,911.57|451,547,177.70
购建固定资产、无形资产和其他长期资产支付的现金||71,682,243.79|167,947,860.34
投资支付的现金||1,593,559,737.10|770,574,400.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||155,812,521.16
支付其他与投资活动有关的现金|七、76|90,000,000.00|34,835,000.00
投资活动现金流出小计||1,755,241,980.89|1,129,169,781.50
投资活动产生的现金流量净额||-1,470,031,069.32|-677,622,603.80
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||153,982,500.00|685,546,000.00
其中：子公司吸收少数股东投资收到的现金||153,982,500.00|
取得借款收到的现金||1,261,304,550.00|398,900,000.00
收到其他与筹资活动有关的现金|七、76|89,018,794.82|43,997,766.72
筹资活动现金流入小计||1,504,305,844.82|1,128,443,766.72
偿还债务支付的现金||552,018,535.75|321,880,500.00
分配股利、利润或偿付利息支付的现金||226,877,787.71|27,386,536.89
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、76||8,707,018.28
筹资活动现金流出小计||778,896,323.46|357,974,055.17
筹资活动产生的现金流量净额||725,409,521.36|770,469,711.55
四、汇率变动对现金及现金等价物的影响||6,011,484.70|20,347,527.90
五、现金及现金等价物净增加额||-319,832,529.64|465,235,431.72
加：期初现金及现金等价物余额||971,197,410.40|505,961,978.68
六、期末现金及现金等价物余额|55|651,364,880.76|971,197,410.40
