page|63
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,090,354,506.71|998,493,968.82
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
page|64
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七、78|73,286,887.56|50,776,146.30
经营活动现金流入小计||1,163,641,394.27|1,049,270,115.12
购买商品、接受劳务支付的现金||922,904,676.64|793,614,485.16
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||34,193,173.77|37,238,601.84
支付的各项税费||85,765,645.06|69,213,465.06
支付其他与经营活动有关的现金|七、78|32,642,390.01|30,376,742.14
经营活动现金流出小计||1,075,505,885.48|930,443,294.20
经 营 活动 产生 的 现金 流量净额||88,135,508.79|118,826,820.92
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,535,056,950.08|2,097,512,125.74
取得投资收益收到的现金||163,400,886.18|114,484,572.78
处置固定资产、无形资产和其他长期资产收回的现金净额||4,280.00|133,812.14
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||2,698,462,116.26|2,212,130,510.66
购建固定资产、无形资产和其他长期资产支付的现金||9,745,879.10|20,311,705.05
投资支付的现金||2,789,822,669.17|2,265,936,436.14
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||2,799,568,548.27|2,286,248,141.19
投 资 活动 产生 的 现金 流||-101,106,432.01|-74,117,630.53
page|65
量净额|||
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||500,000.00
其中：子公司吸收少数股东投资收到的现金|||500,000.00
取得借款收到的现金||98,000,000.00|50,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||98,000,000.00|50,500,000.00
偿还债务支付的现金||148,000,000.00|
分配股利、利润或偿付利息支付的现金||1,750,361.13|46,053,282.38
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||149,750,361.13|46,053,282.38
筹 资 活动 产生 的 现金 流量净额||-51,750,361.13|4,446,717.62
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-64,721,284.35|49,155,908.01
加：期初现金及现金等价物余额||202,843,266.61|153,687,358.60
六、期末现金及现金等价物余额||138,121,982.26|202,843,266.61
