page|54
项目|附注|2019 年 12 月 31日|2018 年 12 月 31日
流动资产：|||
货币资金||1,110,313.30|3,324,346.89
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据||4,520,639.41|
应收账款||47,695,014.32|121,074,285.95
应收款项融资|||
预付款项||7,330,140.17|25,992,304.17
其他应收款||2,220.09|23,292.65
其中：应收利息|||
应收股利|||
存货||1,987,004.96|16,520,328.04
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||991,412.59|2,975,433.68
流动资产合计||63,636,744.84|169,909,991.38
非流动资产：|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
持有至到期投资|||
长期应收款||16,000,000.00|16,000,000.00
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产||509,932,365.81|556,676,621.88
在建工程||2,638,506.78|
生产性生物资产|||
page|55
油气资产|||
使用权资产|||
无形资产|||
开发支出|||
商誉|||
长期待摊费用|||
递延所得税资产|||
其他非流动资产|||
非流动资产合计||528,570,872.59|572,676,621.88
资产总计||592,207,617.43|742,586,613.26
流动负债：|||
短期借款||231,491,699.70|196,169,999.11
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||36,948,644.10
应付账款||249,169,704.67|224,728,875.56
预收款项||35,553,733.25|24,061,742.89
应付职工薪酬||998,073.91|18,124,880.30
应交税费||1,462,025.20|964,069.74
其他应付款||181,395,479.99|75,835,812.88
其中：应付利息||50,230,513.91|21,059,942.28
应付股利|||
持有待售负债|||
一年内到期的非流动负债||40,936,606.64|35,525,405.60
其他流动负债|||
流动负债合计||741,007,323.36|612,359,430.18
非流动负债：|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款||34,745,968.32|77,079,770.66
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债|||
其他非流动负债|||
非流动负债合计||34,745,968.32|77,079,770.66
负债合计||775,753,291.68|689,439,200.84
page|56
所有者权益（或股东权益）：|||
实收资本（或股本）||275,000,000.00|275,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||519,405,265.08|519,405,265.08
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积||15,404,353.58|15,404,353.58
未分配利润||-993,355,292.91|-756,662,206.24
所有者权益（或股东权益）合计||-183,545,674.25|53,147,412.42
负债和所有者权益（或股东权益）总计||592,207,617.43|742,586,613.26
page|57
加：营业外收入||954,034.38|27,924.40
减：营业外支出||363,647.66|564,343.72
三、利润总额（亏损总额以“－”号填列）||-236,693,086.67|-138,642,659.36
减：所得税费用|||
四、净利润（净亏损以“－”号填列）||-236,693,086.67|-138,642,659.36
（一）持续经营净利润（净亏损以“－”号填列）||-236,693,086.67|-138,642,659.36
（二）终止经营净利润（净亏损以“－”号填列）|||
五、其他综合收益的税后净额|||
（一）不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动|||
4.企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益|||
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.可供出售金融资产公允价值变动损益|||
4.金融资产重分类计入其他综合收益的金额|||
5.持有至到期投资重分类为可供出售金融资产损益|||
6.其他债权投资信用减值准备|||
7.现金流量套期储备（现金流量套期损益的有效部分）|||
8.外币财务报表折算差额|||
9.其他|||
六、综合收益总额||-236,693,086.67|-138,642,659.36
七、每股收益：|||
（一）基本每股收益(元/股)||-0.86|-0.50
（二）稀释每股收益(元/股)||-0.86|-0.50
page|58
购买商品、接受劳务支付的现金||145,827,521.89|347,959,350.40
支付给职工及为职工支付的现金||70,595,447.86|19,169,199.81
支付的各项税费||20,000.00|2,507,976.26
支付其他与经营活动有关的现金||3,599,073.11|982,623.16
经营活动现金流出小计||220,042,042.86|370,619,149.63
经营活动产生的现金流量净额||-151,486,037.76|-56,287,437.48
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计|||
购建固定资产、无形资产和其他长期资产支付的现金|||447,148.87
投资支付的现金|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计|||447,148.87
投资活动产生的现金流量净额|||-447,148.87
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
取得借款收到的现金|||149,999,999.11
收到其他与筹资活动有关的现金||148,177,122.86|28,546,915.10
筹资活动现金流入小计||148,177,122.86|178,546,914.21
偿还债务支付的现金|||120,000,000.00
分配股利、利润或偿付利息支付的现金|||6,589,413.82
支付其他与筹资活动有关的现金|||19,400,000.00
筹资活动现金流出小计|||145,989,413.82
筹资活动产生的现金流量净额||148,177,122.86|32,557,500.39
四、汇率变动对现金及现金等价物的影响|||-26,527.44
五、现金及现金等价物净增加额||-3,308,914.90|-24,203,613.40
加：期初现金及现金等价物余额||3,309,310.62|27,512,924.02
六、期末现金及现金等价物余额||395.72|3,309,310.62
