page|7
|第二节  公司简介和主要财务指标
一、公司基本情况|
公司的中文名称|苏州工业园区凌志软件股份有限公司
公司的中文简称|凌志软件
公司的外文名称|Linkage Software Co.,LTD
公司的外文名称缩写|LZRJ
公司的法定代表人|张宝泉
公司注册地址|苏州工业园区启泰路96号
公司注册地址的历史变更情况|无
公司办公地址|苏州工业园区启泰路96号
公司办公地址的邮政编码|215123
公司网址|www.linkstec.com
电子信箱|info@linkstec.com
二、联系人和联系方式|
|董事会秘书（信息披露境内代表）
姓名|王育贵
联系地址|上海市普陀区大渡河路388弄5号楼5楼
电话|021-61659566
传真|021-61659567
电子信箱|info@linkstec.com
三、信息披露及备置地点|
公司披露年度报告的媒体名称及网址|《中国证劵报》www.zgzqb-bz.com
|《上海证券报》www.cnstock.com
|《证券时报》www.stcn.com
|《证券日报》www.zqrb.cn
公司披露年度报告的证券交易所网址|www.sse.com.cn
公司年度报告备置地点|证券投资部
