page|85
项目|附注|2019 年度|2018 年度
一、营业总收入||11,526,435,739.77|12,433,443,536.19
其中：营业收入|（六）59|11,526,435,739.77|12,433,443,536.19
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||11,286,363,921.38|11,034,634,276.89
其中：营业成本|（六）59|7,341,823,550.43|6,521,298,413.70
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六）60|1,335,389,837.45|1,990,734,335.26
销售费用|（六）61|178,086,500.70|210,793,218.65
管理费用|（六）62|659,814,401.58|759,739,266.44
研发费用|||
财务费用|（六）64|1,771,249,631.22|1,552,069,042.84
其中：利息费用||2,061,675,899.28|1,768,042,063.29
利息收入||333,816,648.65|301,036,774.57
加：其他收益|（六）65|952,381,962.16|986,547,779.34
|投资收益（损失以“－”号填列）  （六）66|-258,617,202.59|1,619,706,779.27
page|86
其中：对联营企业和合营企业的投资收益||-230,553,541.26|102,259,022.29
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（六）68|-49,842,470.02|-72,352,171.76
信用减值损失（损失以“-”号填列）|（六）69|-1,869,724,478.84|
资产减值损失（损失以“-”号填列）|（六）70|-12,306,219.25|-618,658,340.14
资产处置收益（损失以“－”号填列）|（六）71|43,150,373.87|2,921,912.58
三、营业利润（亏损以“－”号填列）||-954,886,216.28|3,316,975,218.59
加：营业外收入|（六）72|6,681,620.50|13,127,095.58
减：营业外支出|（六）73|181,251,755.34|366,944,950.96
四、利润总额（亏损总额以“－”号填列）||-1,129,456,351.12|2,963,157,363.21
减：所得税费用|（六）74|355,683,991.06|1,273,064,563.88
五、净利润（净亏损以“－”号填列）||-1,485,140,342.18|1,690,092,799.33
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-1,485,140,342.18|1,690,092,799.33
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-1,212,912,199.06|1,734,867,209.69
2.少数股东损益（净亏损以“-”号填列）||-272,228,143.12|-44,774,410.36
六、其他综合收益的税后净额|（六）75|-2,479,692,449.58|-643,530,644.94
（一）归属母公司所有者的其他综合收益的税后净额||-2,537,349,057.11|-580,556,442.35
1．不能重分类进损益的其他综合收益||-2,549,271,579.58|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-2,549,271,579.58|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||11,922,522.47|-580,556,442.35
（1）权益法下可转损益的其他综合收益||-607,216,710.67|-130,758,629.85
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-514,973,162.61
（4）金融资产重分类计入其他综合收益的金额|||
page|87
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||65,982,111.01|-2,891,697.85
（9）其他||553,157,122.13|68,067,047.96
其中：自用房地产或存货转换为以公允价值模式计量的投资性房地产转换日公允价值大于账面价值部分||553,157,122.13|68,067,047.96
（二）归属于少数股东的其他综合收益的税后净额||57,656,607.53|-62,974,202.59
七、综合收益总额||-3,964,832,791.76|1,046,562,154.39
（一）归属于母公司所有者的综合收益总额||-3,750,261,256.17|1,154,310,767.34
（二）归属于少数股东的综合收益总额||-214,571,535.59|-107,748,612.95
八、每股收益：|||
（一）基本每股收益(元/股)||-0.3104|0.4440
（二）稀释每股收益(元/股)||-0.3104|0.4440
