page|96
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,608,481,269.28|2,935,295,681.08
客户存款和同业存放款项净增加额||0|0
向中央银行借款净增加额||0|0
向其他金融机构拆入资金净增加额||0|0
收到原保险合同保费取得的现金||0|0
收到再保业务现金净额||0|0
保户储金及投资款净增加额||0|0
收取利息、手续费及佣金的现金||0|0
拆入资金净增加额||0|0
回购业务资金净增加额||0|0
代理买卖证券收到的现金净额||0|0
收到的税费返还||1,326,317.69|5,487,633.68
收到其他与经营活动有关的现金||25,364,793.99|64,844,468.00
经营活动现金流入小计||2,635,172,380.96|3,005,627,782.76
购买商品、接受劳务支付的现金||1,984,412,398.40|2,096,669,769.83
客户贷款及垫款净增加额||0|0
存放中央银行和同业款项净增加额||0|0
支付原保险合同赔付款项的现金||0|0
拆出资金净增加额||0|0
支付利息、手续费及佣金的现金||0|0
支付保单红利的现金||0|0
支付给职工及为职工支付的现金||318,522,446.46|251,932,459.79
支付的各项税费||113,624,030.69|75,399,241.40
支付其他与经营活动有关的现金||127,660,377.01|104,867,145.42
经营活动现金流出小计||2,544,219,252.56|2,528,868,616.44
经营活动产生的现金流量净额||90,953,128.40|476,759,166.32
page|97
二、投资活动产生的现金流量：|||
收回投资收到的现金||4,616,610,000.00|3,733,470,000.00
取得投资收益收到的现金||17,185,572.60|11,930,183.81
处置固定资产、无形资产和其他长期资产收回的现金净额||2,424,726.79|1,968,738.33
处置子公司及其他营业单位收到的现金净额||0|218,658,485.90
收到其他与投资活动有关的现金||73,320,000.00|0
投资活动现金流入小计||4,709,540,299.39|3,966,027,408.04
购建固定资产、无形资产和其他长期资产支付的现金||395,766,953.81|118,090,198.13
投资支付的现金||4,080,050,000.00|4,357,870,446.00
质押贷款净增加额||0|0
取得子公司及其他营业单位支付的现金净额||0|0
支付其他与投资活动有关的现金||35,700,000.00|39,150,000.00
投资活动现金流出小计||4,511,516,953.81|4,515,110,644.13
投资活动产生的现金流量净额||198,023,345.58|-549,083,236.09
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||21,745,800.00|544,869,073.30
其中：子公司吸收少数股东投资收到的现金|||69,207,169.00
取得借款收到的现金||0|0
收到其他与筹资活动有关的现金||0|0
筹资活动现金流入小计||21,745,800.00|544,869,073.30
偿还债务支付的现金||0|0
分配股利、利润或偿付利息支付的现金||47,964,100.00|0
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||9,595,086.79|591,030,538.20
筹资活动现金流出小计||57,559,186.79|591,030,538.20
筹资活动产生的现金流量净额||-35,813,386.79|-46,161,464.90
四、汇率变动对现金及现金等价物的影响||-4,462,793.55|-5,483,129.08
五、现金及现金等价物净增加额||248,700,293.64|-123,968,663.75
加：期初现金及现金等价物余额||43,230,600.77|167,199,264.52
六、期末现金及现金等价物余额||291,930,894.41|43,230,600.77
