page|89
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||8,868,822,844.39|6,084,524,036.89
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||54,010,610.22|43,964,008.58
收到其他与经营活动有关的现金|七、59（1）|169,467,513.15|276,324,644.52
经营活动现金流入小计||9,092,300,967.76|6,404,812,689.99
购买商品、接受劳务支付的现金||6,094,859,011.25|2,930,507,075.37
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,277,511,588.18|852,427,618.23
支付的各项税费||513,239,967.35|414,783,902.94
支付其他与经营活动有关的现金|七、59（2）|328,403,073.07|251,319,526.21
经营活动现金流出小计||8,214,013,639.85|4,449,038,122.75
经营活动产生的现金流量净额||878,287,327.91|1,955,774,567.24
二、投资活动产生的现金流量：|||
收回投资收到的现金||4,534,569.77|1,431,481.28
取得投资收益收到的现金||22,366,891.13|15,948,638.68
page|90
处置固定资产、无形资产和其他长期资产收回的现金净额||3,196,064.98|1,036,107.58
处置子公司及其他营业单位收到的现金净额|||38,718,900.00
收到其他与投资活动有关的现金|七、59（3）|36,254,258.30|22,385,951.09
投资活动现金流入小计||66,351,784.18|79,521,078.63
购建固定资产、无形资产和其他长期资产支付的现金||2,003,331,138.65|3,564,620,777.58
投资支付的现金||58,854,192.24|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||8,315,037.65|213,864,293.77
支付其他与投资活动有关的现金|七、59（4）|3,787,524.00|10,245,753.65
投资活动现金流出小计||2,074,287,892.54|3,788,730,825.00
投资活动产生的现金流量净额||-2,007,936,108.36|-3,709,209,746.37
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||46,310,678.00|129,821,617.40
其中：子公司吸收少数股东投资收到的现金||46,310,678.00|44,529,800.00
取得借款收到的现金||8,680,056,497.87|10,286,513,675.55
收到其他与筹资活动有关的现金|七、59（5）|486,185.60|
筹资活动现金流入小计||8,726,853,361.47|10,416,335,292.95
偿还债务支付的现金||6,604,862,423.76|8,054,807,496.69
分配股利、利润或偿付利息支付的现金||629,690,252.37|592,554,036.36
其中：子公司支付给少数股东的股利、利润||2,500,000.00|7,800,000.00
支付其他与筹资活动有关的现金|七、59（6）|69,997,735.53|1,951,685.49
筹资活动现金流出小计||7,304,550,411.66|8,649,313,218.54
筹资活动产生的现金流量净额||1,422,302,949.81|1,767,022,074.41
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||292,654,169.36|13,586,895.28
加：期初现金及现金等价物余额||1,002,492,016.92|988,905,121.64
六、期末现金及现金等价物余额||1,295,146,186.28|1,002,492,016.92
