page|98
||合并现金流量表||
|||单位：人民币元|
|附注五||2019年|2018年
一、 经营活动产生的现金流量||||
销售商品、提供劳务收到的现金|||10,482,412,651.23|15,746,474,708.69
收到的税费返还|||16,179,180.50|-
收到其他与经营活动有关的现金|53(1)||692,874,789.15|943,139,804.21
经营活动现金流入小计|||11,191,466,620.88|16,689,614,512.90
购买商品、接受劳务支付的现金|||12,172,572,114.14|7,502,438,753.37
支付给职工以及为职工支付的现金|||386,845,454.34|362,679,668.58
支付的各项税费|||1,556,156,835.53|1,985,111,070.68
支付其他与经营活动有关的现金|53(2)||1,687,614,106.46|1,042,895,634.54
经营活动现金流出小计|||15,803,188,510.47|10,893,125,127.17
经营活动产生的现金流量净额|54||(4,611,721,889.59)|5,796,489,385.73
二、 投资活动产生的现金流量||||
收回投资所收到的现金|||3,889,114,595.28|3,951,853,922.10
取得投资收益收到的现金|||358,242,609.30|204,092,957.89
处置固定资产、无形资产和其他长期资||||
产收回的现金净额|||64,003.39|8,906,891.11
处置子公司及其他营业单位收到的现||||
金净额|54||7,516,196.11|-
收到其他与投资活动有关的现金|||-|415,233,765.84
投资活动现金流入小计|||4,254,937,404.08|4,580,087,536.94
购建固定资产、无形资产和其他长期资||||
产支付的现金|||24,837,821.98|16,977,111.69
投资支付的现金|||5,001,432,682.98|4,565,439,202.42
支付其他与投资活动有关的现金|||-|74,524,400.11
投资活动现金流出小计|||5,026,270,504.96|4,656,940,714.22
投资活动产生的现金流量净额||(|771,333,100.88)|(76,853,177.28)
page|99
|合并现金流量表（续）|||
||||单位：人民币元
|附注五|2019年||2018年
三、 筹资活动产生的现金流量||||
吸收投资收到的现金||1,204,330,000.00||36,675,000.00
其中：子公司吸收少数股东投资收到的||||
现金||1,204,330,000.00||36,675,000.00
取得借款所收到的现金||20,759,248,496.09||10,472,318,384.46
收到其他与筹资活动有关的现金|53(3)|5,500,000.00||18,900,000.00
筹资活动现金流入小计||21,969,078,496.09||10,527,893,384.46
偿还债务支付的现金||14,128,626,049.13||12,736,420,156.62
分配股利、利润或偿付利息支付的现金||1,218,873,920.59||1,300,602,369.02
其中：子公司支付给少数股东的股利、||||
利润||151,379,386.51||62,861,093.16
支付其他与筹资活动有关的现金|53(4)|182,248,419.24||1,190,554,387.19
筹资活动现金流出小计||15,529,748,388.96||15,227,576,912.83
筹资活动产生的现金流量净额||6,439,330,107.13|(|4,699,683,528.37
四、 现金及现金等价物净增加额|54|1,056,275,116.66||1,019,952,680.08
加：年初现金及现金等价物余额|54|5,281,437,980.26||4,261,485,300.18
五、 年末现金及现金等价物余额|54|6,337,713,096.92||5,281,437,980.26
