page|70
项目|附注|2020 年度|2019 年度
一、营业总收入||607,888,025.38|944,076,872.72
其中：营业收入|七、61|607,888,025.38|944,076,872.72
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||649,268,486.83|903,713,572.63
其中：营业成本|七、61|353,672,167.76|478,883,556.61
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|24,864,676.81|32,604,571.72
销售费用|七、63|130,021,653.96|244,227,565.00
管理费用|七、64|138,734,348.36|145,720,592.63
研发费用|七、65|3,552,890.06|3,456,421.10
财务费用|七、66|-1,577,250.12|-1,179,134.43
其中：利息费用||2,008,765.79|1,989,537.13
利息收入||3,859,864.77|3,334,123.40
加：其他收益|七、67|12,623,079.41|8,469,646.83
投资收益（损失以“－”号填列）|七、68|2,662,217.29|8,352,062.64
其中：对联营企业和合营企业的投资收益|||-139.72
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|8,484,443.51|2,409,123.29
信用减值损失（损失以“-”号填列）|七、71|-2,648,844.67|-3,202,269.68
资产减值损失（损失以“-”号填列）|七、72|-478,521.53|-14,694,890.27
资产处置收益（损失以“－”号填列）|七、73|28,862,208.04|1,025,266.95
三、营业利润（亏损以“－”号填列）||8,124,120.60|42,722,239.85
加：营业外收入|七、74|213,206.07|498,188.96
减：营业外支出|七、75|-10,741,697.78|1,313,414.77
四、利润总额（亏损总额以“－”号填列）||19,079,024.45|41,907,014.04
减：所得税费用|七、76|1,707,556.03|14,939,535.09
五、净利润（净亏损以“－”号填列）||17,371,468.42|26,967,478.95
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||17,371,468.42|26,967,478.95
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||12,239,663.18|29,447,169.36
2.少数股东损益（净亏损以“-”号填列）||5,131,805.24|-2,479,690.41
六、其他综合收益的税后净额||858,159.68|-1,655,345.60
page|71
（一）归属母公司所有者的其他综合收益的税后净额||858,159.68|-1,655,345.60
1．不能重分类进损益的其他综合收益||858,205.72|-1,655,978.66
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||858,205.72|-1,655,978.66
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-46.04|633.06
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-46.04|633.06
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||18,229,628.10|25,312,133.35
（一）归属于母公司所有者的综合收益总额||13,097,822.86|27,791,823.76
（二）归属于少数股东的综合收益总额||5,131,805.24|-2,479,690.41
八、每股收益：|||
（一）基本每股收益(元/股)||0.02|0.04
（二）稀释每股收益(元/股)||0.02|0.04
