page|73
项目|附注七|2021 年度|2020 年度
一、营业总收入||21,414,734,213.10|15,014,814,569.43
其中：营业收入|49|21,414,734,213.10|15,014,814,569.43
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||19,560,876,443.99|13,431,580,658.71
其中：营业成本|49|17,178,416,763.29|11,144,298,435.68
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|50|82,882,797.86|71,144,232.56
销售费用|51|1,473,403,533.12|1,524,664,478.97
管理费用|52|274,291,624.84|257,901,015.17
研发费用|53|382,099,527.31|241,743,115.06
财务费用|54|169,782,197.57|191,829,381.27
其中：利息费用||224,720,491.55|233,399,744.42
利息收入||-51,828,613.50|-48,659,845.43
加：其他收益|55|55,528,935.42|49,250,734.49
投资收益（损失以“－”号填列）|56|122,126,727.24|159,486,280.42
其中：对联营企业和合营企业的投资收益||5,028,877.02|6,692,987.99
page|74
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|57||2,070,892.99
信用减值损失（损失以“-”号填列）|58|-74,972,478.90|-104,342,186.52
资产减值损失（损失以“-”号填列）|59|-113,289,869.85|-82,085,188.67
资产处置收益（损失以“－”号填列）|60|3,894,957.62|54,751,133.89
三、营业利润（亏损以“－”号填列）||1,847,146,040.64|1,662,365,577.32
加：营业外收入|61|29,555,790.61|30,400,359.77
减：营业外支出|62|42,686,222.52|8,784,001.33
四、利润总额（亏损总额以“－”号填列）||1,834,015,608.73|1,683,981,935.76
减：所得税费用|63|293,589,393.40|301,947,769.62
五、净利润（净亏损以“－”号填列）||1,540,426,215.33|1,382,034,166.14
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,540,426,215.33|1,382,034,166.14
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,353,966,552.27|1,321,400,281.94
2.少数股东损益（净亏损以“-”号填列）||186,459,663.06|60,633,884.20
六、其他综合收益的税后净额||137,164,887.27|1,292,000.00
（一）归属母公司所有者的其他综合收益的税后净额||137,164,887.27|1,292,000.00
1．不能重分类进损益的其他综合收益||137,164,887.27|1,292,000.00
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||137,164,887.27|1,292,000.00
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
page|75
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,403,261,328.06|1,383,326,166.14
（一）归属于母公司所有者的综合收益总额||1,216,801,665.00|1,322,692,281.94
（二）归属于少数股东的综合收益总额||186,459,663.06|60,633,884.20
八、每股收益：|||
（一）基本每股收益(元/股)||0.47|0.46
（二）稀释每股收益(元/股)||0.47|0.46
