page|115
项      目|附注||||
||合并|公司|合并|公司
资产：|||||
现金及存放中央银行款项  五、1||20,693,773,969.14|20,693,773,969.14|26,183,819,866.27|26,183,819,866.27
存放同业款项|五、2|7,500,609,891.25|7,400,609,891.23|7,478,914,183.68|7,428,913,211.43
贵金属|||||
拆出资金|五、3|23,766,662,768.00|25,609,020,640.89|15,031,400,349.88|16,683,354,988.76
衍生金融资产|||||
买入返售金融资产|五、4|4,773,957,964.54|4,773,957,964.54|1,428,919,679.83|1,428,919,679.83
发放贷款和垫款|五、5|210,116,105,695.50|210,116,105,695.50     189,014,790,770.08||189,014,790,770.08
应收融资租赁款|五、6|5,906,891,559.74||5,961,748,384.47|
金融投资：|||||
交易性金融资产|五、7|33,722,121,654.87|33,722,121,654.87|34,541,730,018.74|34,541,730,018.74
债权投资|五、8|56,423,361,135.18|56,423,361,135.18|55,742,854,919.84|55,742,854,919.84
其他债权投资|五、9|31,738,578,927.60|31,738,578,927.60|21,327,922,817.15|21,327,922,817.15
其他权益工具投资|五、10|8,250,000.00|8,250,000.00|8,250,000.00|8,250,000.00
长期股权投资|五、11|109,610,669.54|409,610,669.54|85,475,757.95|385,475,757.95
投资性房地产|五、12|33,058,375.06|33,058,375.06|20,314,714.65|20,314,714.65
固定资产|五、13|1,192,966,476.34|1,150,251,096.59|1,309,733,387.71|1,263,836,170.04
在建工程|五、14|90,000.00|90,000.00|90,000.00|90,000.00
使用权资产|五、15|128,396,453.18|123,125,554.73||
无形资产|五、16|120,029,310.41|118,137,042.45|134,963,210.97|132,985,883.90
商誉|||||
递延所得税资产|五、17|2,521,940,210.16|2,451,590,502.35|2,228,546,573.64|2,167,629,451.75
其他资产|五、18|1,584,165,868.42|1,542,451,455.97|1,819,747,085.50|1,810,130,074.42
资产总计||400,340,570,928.93|396,314,094,575.64     362,319,221,720.36||358,141,018,324.81
page|116
||期末余额||上年年末余额|
项   目|附注||||
||合并|公司|合并|公司
负债：|||||
向中央银行借款|五、19|17,533,322,656.50      17,533,322,656.50||7,628,195,118.05|7,628,195,118.05
|同业及其他金融机构存放款项  五、20|7,486,599,359.34|4,636,170,359.32|7,237,629,570.71|3,887,555,492.70
拆入资金|五、21|4,816,972,937.95|4,515,960,993.51|4,753,347,935.74|4,652,786,546.86
交易性金融负债|五、22|30,378,442.19|30,378,442.19||
衍生金融负债|||||
