page|117
||2021 年度|||
编制单位：兰州银行股份有限公司|||||单位：人民币元
||本期金额||上期金额|
项      目|附注||||
||合并|公司|合并|公司
一、营业收入|||||
||7,836,084,847.43|7,635,900,387.77|7,303,663,453.41|7,042,991,802.72
利息净收入|五、38||||
||6,012,545,295.18|5,849,086,962.70|4,790,434,752.84|4,574,509,702.23
利息收入|||||
||18,367,967,366.21|18,059,976,556.47|15,541,187,329.81|15,199,442,443.30
利息支出|||||
||12,355,422,071.03|12,210,889,593.77|10,750,752,576.97|10,624,932,741.07
手续费及佣金净收入|五、39||||
||383,790,430.33|317,116,482.50|224,480,132.85|155,805,012.56
手续费及佣金收入|||||
||458,970,056.96|392,213,611.97|276,785,269.81|208,066,336.05
手续费及佣金支出|||||
||75,179,626.63|75,097,129.47|52,305,136.96|52,261,323.49
其他收益|五、40||||
||3,674,763.07|3,622,583.72|245,419.30|173,939.51
投资收益（损失以“-”号填列）|五、41||||
||1,412,457,258.30|1,442,457,258.30|1,197,619,434.39|1,221,619,434.39
其中：对联营企业和合营企业投资收益|||||
||-25,497,758.72|-25,497,758.72|14,484,468.04|14,484,468.04
以摊余成本计量的金融资产终止确认收益|||||
||22,927,820.75|22,927,820.75||
汇兑收益（损失以“-”号填列）|五、42||||
||6,419,231.12|6,419,231.12|1,676,278.01|1,676,278.01
净敞口套期收益（损失以“-”号填列）|||||
公允价值变动收益（损失以“-”号填列）|五、43||||
||-3,985,851.41|-3,985,851.41|273,130,352.66|273,130,352.66
其他业务收入|五、44||||
||11,609,276.62|11,609,276.62|7,809,341.19|7,809,341.19
资产处置收益（损失以“-”号填列）|五、46||||
||9,574,444.22|9,574,444.22|808,267,742.17|808,267,742.17
二、营业支出|||||
||6,273,145,824.34|6,151,877,319.75|5,727,478,399.04|5,559,937,332.38
税金及附加|五、47||||
||116,143,074.61|113,932,991.30|123,157,169.96|121,246,761.81
业务及管理费|五、48||||
||2,274,773,270.43|2,225,722,833.64|2,153,964,023.21|2,109,693,487.10
信用减值损失|五、49||||
||3,836,147,936.05|3,766,139,951.56|3,428,125,508.93|3,306,765,386.53
其他资产减值损失|五、50||||
||44,100,000.00|44,100,000.00|20,321,855.86|20,321,855.86
其他业务成本|五、44||||
||1,981,543.25|1,981,543.25|1,909,841.08|1,909,841.08
三、营业利润(亏损以“-”号填列）|||||
||1,562,939,023.09|1,484,023,068.02|1,576,185,054.37|1,483,054,470.34
加：营业外收入|五、51||||
||10,751,476.03|10,744,609.29|3,359,119.16|3,359,119.16
减：营业外支出|五、52||||
||31,364,710.53|31,363,345.07|17,083,909.47|17,072,725.77
四、利润总额(亏损总额以“-”号填列）|||||
||1,542,325,788.59|1,463,404,332.24|1,562,460,264.06|1,469,340,863.73
减：所得税费用|五、53||||
||-60,514,919.82|-76,937,279.89|29,792,570.48|12,216,405.08
五、净利润(净亏损以“-”号填列）|||||
||1,602,840,708.41|1,540,341,612.13|1,532,667,693.58|1,457,124,458.65
（一）按经营持续性分类：|||||
其中：持续经营净利润（净亏损以“-”号填列）|||||
||1,602,840,708.41|1,540,341,612.13|1,532,667,693.58|1,457,124,458.65
终止经营净利润（净亏损以“-”号填列）|||||
（二）按所有权归属分类：|||||
其中：归属于母公司股东的净利润（净亏损以“-”号填列）|||||
||1,566,052,949.70|1,540,341,612.13|1,492,850,399.61|1,457,124,458.65
少数股东损益（净亏损以“-”号填列）|||||
||36,787,758.71||39,817,293.97|
六、其他综合收益的税后净额|||||
||543,747,148.58|543,747,148.58|-289,405,104.41|-289,405,104.41
归属于母公司股东的其他综合收益的税后净额|||||
||543,747,148.58|543,747,148.58|-289,405,104.41|-289,405,104.41
（一）不能重分类进损益的其他综合收益|||||
1、重新计量设定受益计划变动额|||||
2、权益法下不能转损益的其他综合收益|||||
3、其他权益工具投资公允价值变动|||||
4、企业自身信用风险公允价值变动|||||
5、其他|||||
（二）将重分类进损益的其他综合收益|||||
||543,747,148.58|543,747,148.58|-289,405,104.41|-289,405,104.41
1、权益法下可转损益的其他综合收益|||||
2、其他债权投资公允价值变动计入其他综合收益的金额|||||
||510,225,194.28|510,225,194.28|-252,248,699.40|-252,248,699.40
3、转贴现公允价值变动计入其他综合收益的金额|||||
||33,419,124.24|33,419,124.24|-27,604,205.81|-27,604,205.81
4、其他债权投资信用损失准备|||||
||308,636.85|308,636.85|-8,561,767.22|-8,561,767.22
5、转贴现减值准备|||||
||-205,806.79|-205,806.79|-990,431.98|-990,431.98
6、金融资产重分类计入其他综合收益的金额|||||
7、持有至到期投资重分类为可供出售金融资产损益|||||
8、其他|||||
归属于少数股东的其他综合收益的税后净额|||||
七、综合收益总额|||||
||2,146,587,856.99|2,084,088,760.71|1,243,262,589.17|1,167,719,354.24
归属于母公司股东的综合收益总额|||||
||2,109,800,098.28|2,084,088,760.71|1,203,445,295.20|1,167,719,354.24
归属于少数股东的综合收益总额|||||
||36,787,758.71||39,817,293.97|
八、每股收益|||||
（一）基本每股收益|||||
||0.26|-|0.29|-
（二）稀释每股收益|||||
|||-||-
