page|95
|2020 年年度报告
收到其他与投资活动有关的现金|（七）78、（3） 13,522,846.50 2,939,802.23
投资活动现金流入小计|9,269,199,315.03 11,831,054,892.87
购建固定资产、无形资产和其他长期资|
|1,056,333,146.16 673,556,799.60
产支付的现金|
投资支付的现金|9,243,640,394.90 11,259,035,164.91
取得子公司及其他营业单位支付的现金|（七）79、（2）
|1,980,146,094.91 493,242,220.77
净额|
投资活动现金流出小计|12,280,119,635.97 12,425,834,185.28
投资活动产生的现金流量净额|-3,010,920,320.94 -594,779,292.41
三、筹资活动产生的现金流量：|
吸收投资收到的现金|67,060,849.80 49,606,752.99
其中：子公司吸收少数股东投资收到的|
|431,199.99
现金|
取得借款收到的现金|13,803,036,236.54  9,200,670,228.31
收到其他与筹资活动有关的现金|23,486,155.84
筹资活动现金流入小计|13,893,583,242.18  9,250,276,981.30
偿还债务支付的现金|11,474,728,199.05  8,971,328,733.71
分配股利、利润或偿付利息支付的现金|444,227,133.59 420,509,050.06
支付其他与筹资活动有关的现金|（七）78、（6） 150,150,075.22 242,752,485.25
筹资活动现金流出小计|12,069,105,407.86  9,634,590,269.02
筹资活动产生的现金流量净额|1,824,477,834.32 -384,313,287.72
四、汇率变动对现金及现金等价物的影响|-29,496,833.12 29,271,479.81
五、现金及现金等价物净增加额|220,584,354.36  1,475,951,153.29
加：期初现金及现金等价物余额|（七）79、（4）  6,082,639,950.14  4,606,688,796.85
六、期末现金及现金等价物余额|（七）79、（4）  6,303,224,304.50  6,082,639,950.14
法定代表人：陈昌益 主管会计工作负责人：刘丹阳 会计机构负责人：李铭修|
|母公司现金流量表
|2020 年 1—12 月
|单位:元  币种:人民币
项目|附 注2020年度 2019年度
一、经营活动产生的现金流量：|
销售商品、提供劳务收到的现金|16,354,018,830.88 10,220,316,411.31
收到的税费返还|144,654,241.67 118,707,238.18
收到其他与经营活动有关的现金|31,995,115.48 19,099,096.93
经营活动现金流入小计|16,530,668,188.03 10,358,122,746.42
购买商品、接受劳务支付的现金|14,784,024,458.76  9,429,901,970.73
支付给职工及为职工支付的现金|475,732,315.68 429,300,219.13
支付的各项税费|113,552,029.55 21,494,307.22
支付其他与经营活动有关的现金|121,869,207.26 136,109,451.21
经营活动现金流出小计|15,495,178,011.25 10,016,805,948.29
经营活动产生的现金流量净额|1,035,490,176.78 341,316,798.13
二、投资活动产生的现金流量：|
收回投资收到的现金|15,000,000.00  1,817,094,183.95
取得投资收益收到的现金|707,491,553.58 24,868,125.77
处置固定资产、无形资产和其他长期资产收回的|42,338,215.51 10,609,464.32
