page|106
||合并资产负债表|||
||2021年12月31日|||
|编制单位：深圳市中金岭南有色金属股份有限公司||||金额单位：人民币元
|项      目|附注|2021年12月31日|2021年1月1日|2020年12月31日
流动资产：|||||
货币资金||六、1|1,782,715,443.32|1,689,531,478.19|1,689,531,478.19
结算备付金*||六、2|767,728,176.51|320,503,353.66|320,503,353.66
拆出资金*|||||
交易性金融资产||六、3|1,413,575,265.75|1,028,499,163.27|1,028,499,163.27
衍生金融资产||六、4|793,525.00|108,000.00|108,000.00
应收票据||六、5||66,447,704.23|66,447,704.23
应收账款||六、6|587,429,108.32|615,368,594.56|615,368,594.56
应收款项融资||六、7|61,138,493.11|134,948,935.09|134,948,935.09
预付款项||六、8|91,263,480.84|99,656,078.09|100,000,632.55
应收保费*|||||
应收分保账款*|||||
应收分保合同准备金*|||||
其他应收款||六、9|246,978,203.52|147,861,187.76|147,861,187.76
其中：应收利息|||||
应收股利||||2,589,894.05|2,589,894.05
买入返售金融资产*||六、10|95,116,515.04|244,111,587.52|244,111,587.52
存货||六、11|2,406,782,413.59|2,043,621,745.95|2,043,621,745.95
合同资产||六、12|14,615,198.09|17,981,842.54|17,981,842.54
持有待售资产|||||
一年内到期的非流动资产|||||
其他流动资产||六、13|1,549,853,109.91|2,154,421,609.40|2,154,421,609.40
流动资产合计|||9,017,988,933.00|8,563,061,280.26|8,563,405,834.72
非流动资产：|||||
发放贷款和垫款*|||||
债权投资|||||
其他债权投资|||||
长期应收款|||||
长期股权投资||六、14|794,761,204.36|649,790,126.13|649,790,126.13
其他权益工具投资||六、15|126,596,577.24|16,874,414.31|16,874,414.31
其他非流动金融资产|||||
投资性房地产||六、16|35,474,151.31|61,879,453.92|61,879,453.92
固定资产||六、17|7,727,243,655.37|7,317,946,789.14|7,443,661,034.11
在建工程||六、18|4,522,444,677.74|2,637,605,672.56|2,637,605,672.56
生产性生物资产|||||
油气资产|||||
使用权资产||六、19|101,340,047.01|167,513,794.61|
无形资产||六、20|4,462,304,140.30|3,098,377,243.65|3,098,377,243.65
开发支出|||||
商誉||六、21|140,882,354.35|140,882,354.35|140,882,354.35
长期待摊费用||六、22|25,385,131.33|28,396,818.72|28,396,818.72
递延所得税资产||六、23|431,938,209.53|493,004,579.63|493,004,579.63
其他非流动资产||六、24|217,772,232.46|1,214,455,178.50|1,214,455,178.50
|非流动资产合计||18,586,142,381.00|15,826,726,425.52|15,784,926,875.88
|资产总计||27,604,131,314.00|24,389,787,705.78|24,348,332,710.60
|法定代表人：                                         主管会计工作负责人：                                            会计机构负责人：||||
page|107
|合并资产负债表（续）|||
|2021年12月31日|||
编制单位：深圳市中金岭南有色金属股份有限公司||||金额单位：人民币元
项      目|附注|2021年12月31日|2021年1月1日|2020年12月31日
流动负债：||||
短期借款|六、25|3,790,724,699.06|1,912,209,485.97|1,912,209,485.97
向中央银行借款*||||
拆入资金*||||
交易性金融负债||||
衍生金融负债|六、26|50,947,087.04|37,437,050.46|37,437,050.46
应付票据|六、27|38,663,640.77|99,778,027.78|99,778,027.78
应付账款|六、28|1,043,360,778.95|1,142,527,925.46|1,142,527,925.46
预收款项||||
合同负债|六、29|150,995,813.79|107,688,337.60|107,688,337.60
卖出回购金融资产款*|六、30||20,357,336.25|20,357,336.25
吸收存款及同业存放*||||
代理买卖证券款*||||
代理承销证券款*||||
应付职工薪酬|六、31|416,598,074.79|348,293,465.30|348,293,465.30
应交税费|六、32|135,970,991.36|90,048,027.54|90,048,027.54
其他应付款|六、33|1,219,717,695.36|696,488,319.30|696,488,319.30
其中：应付利息||||
应付股利||1,532,619.60|4,210,468.43|4,210,468.43
应付手续费及佣金*|六、34|13,237.32|44,462.20|44,462.20
应付分保账款*||||
持有待售负债||||
一年内到期的非流动负债|六、35|618,362,749.25|56,054,813.87|44,496,611.51
其他流动负债|六、36|25,472,797.50|61,115,990.20|61,115,990.20
流动负债合计||7,490,827,565.19|4,572,043,241.93|4,560,485,039.57
非流动负债：||||
保险合同准备金*||||
长期借款|六、37|1,629,907,790.89|1,948,814,320.46|1,948,814,320.46
应付债券|六、38|3,005,251,332.49|3,204,025,944.68|3,204,025,944.68
其中：优先股||||
永续债||||
租赁负债|六、39|38,610,919.23|31,126,761.10|
长期应付款||||1,229,968.28
长期应付职工薪酬|六、40|574,760,711.53|627,780,868.69|627,780,868.69
预计负债|六、41|221,408,278.23|271,515,752.83|271,515,752.83
递延收益|六、42|58,595,701.55|65,720,378.22|65,720,378.22
递延所得税负债|六、23|815,875,897.35|824,377,647.03|824,377,647.03
其他非流动负债|六、43|5,090,803.41|2,832,980.98|2,832,980.98
非流动负债合计||6,349,501,434.68|6,976,194,653.99|6,946,297,861.17
负债合计||13,840,328,999.87|11,548,237,895.92|11,506,782,900.74
股东权益：||||
股本|六、44|3,650,034,613.00|3,569,685,327.00|3,569,685,327.00
其他权益工具|六、45|576,820,737.85|639,424,688.95|639,424,688.95
其中：优先股||||
永续债||||
资本公积|六、46|1,936,094,712.90|1,550,481,679.24|1,550,481,679.24
减：库存股||||
其他综合收益|六、47|-632,259,926.66|-406,398,264.07|-406,398,264.07
