page|59
项目|附注五|2020 年度|2019 年度
一、营业总收入||4,849,549|8,575,309
其中：营业收入|（六十）|4,849,549|8,575,309
二、营业总成本||5,305,441|7,561,485
其中：营业成本|（六十）|3,869,130|6,024,662
税金及附加|（六十一）|17,684|29,471
销售费用|（六十二）|326,579|498,664
管理费用|（六十三）|438,510|379,477
研发费用|（六十四）|401,297|460,291
财务费用|（六十五）|252,241|168,920
其中：利息费用||153,443|93,172
利息收入||25,491|9,097
加：其他收益|（六十六）|12,125|13,435
投资收益（损失以“－”号填列）|（六十七）||11,578
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
信用减值损失（损失以“-”号填列）|（七十）|-110,233|-21,168
资产减值损失（损失以“-”号填列）|（七十一）|-88,257|-19,966
资产处置收益（损失以“－”号填列）|（七十二）|-2,693|138
三、营业利润（亏损以“－”号填列）||-644,950|997,841
加：营业外收入|（七十三）|6,897|28,826
减：营业外支出|（七十四）|125,155|115,756
四、利润总额（亏损总额以“－”号填列）||-763,208|910,911
减：所得税费用|（七十五）|-91,666|120,748
五、净利润（净亏损以“－”号填列）||-671,542|790,163
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-671,542|790,163
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-561,458|608,934
2.少数股东损益（净亏损以“-”号填列）||-110,084|181,229
六、其他综合收益的税后净额||55,447|64,814
（一）归属母公司所有者的其他综合收益的税后净额||44,715|52,271
1．不能重分类进损益的其他综合收益||-12,707|-60,670
（1）重新计量设定受益计划变动额||-12,707|-60,670
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||57,422|112,941
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
page|60
（5）现金流量套期储备||391|-46
（6）外币财务报表折算差额||57,031|112,987
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||10,732|12,543
七、综合收益总额||-616,095|854,977
（一）归属于母公司所有者的综合收益总额||-516,743|661,205
（二）归属于少数股东的综合收益总额||-99,352|193,772
八、每股收益：|||
（一）基本每股收益(元/股)|（七十七）|-0.30|0.32
（二）稀释每股收益(元/股)|（七十七）|-0.30|0.32
