page|61
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,583,738|6,895,669
收到其他与经营活动有关的现金|（七十九）1|23,250|30,188
经营活动现金流入小计||5,606,988|6,925,857
购买商品、接受劳务支付的现金||4,441,080|4,286,409
支付给职工及为职工支付的现金||1,610,900|1,713,637
支付的各项税费||223,728|530,174
支付其他与经营活动有关的现金|（七十九）2|423,901|648,370
经营活动现金流出小计||6,699,609|7,178,590
经营活动产生的现金流量净额||-1,092,621|-252,733
二、投资活动产生的现金流量：|||
取得投资收益收到的现金|||653
处置固定资产、无形资产和其他长期资产收回的现金净额||5,168|9,875
收到其他与投资活动有关的现金|（七十九）3||2,626,162
投资活动现金流入小计||5,168|2,636,690
购建固定资产、无形资产和其他长期资产支付的现金||328,517|399,880
支付其他与投资活动有关的现金|（七十九）4|7,044|850,493
投资活动现金流出小计||335,561|1,250,373
投资活动产生的现金流量净额||-330,393|1,386,317
三、筹资活动产生的现金流量：|||
取得借款收到的现金||3,341,852|2,240,921
收到其他与筹资活动有关的现金|（七十九）5|697,620|64,000
筹资活动现金流入小计||4,039,472|2,304,921
偿还债务支付的现金||2,663,346|3,631,913
分配股利、利润或偿付利息支付的现金||223,882|470,292
其中：子公司支付给少数股东的股利、利润||67,500|135,000
支付其他与筹资活动有关的现金|（七十九）6|1,604,265|197,548
筹资活动现金流出小计||4,491,493|4,299,753
page|62
筹资活动产生的现金流量净额||-452,021|-1,994,832
四、汇率变动对现金及现金等价物的影响||22,829|-350
五、现金及现金等价物净增加额||-1,852,206|-861,598
加：期初现金及现金等价物余额||1,973,341|2,834,939
六、期末现金及现金等价物余额||121,135|1,973,341
