page|64
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||8,848,841,843.07|8,108,974,687.71
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||268,333.83|
收到其他与经营活动有关的现金||413,772,198.63|543,429,740.41
经营活动现金流入小计||9,262,882,375.53|8,652,404,428.12
购买商品、接受劳务支付的现金||2,747,448,997.28|2,359,608,917.46
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,536,752,609.17|2,250,360,044.76
支付的各项税费||678,115,617.45|618,655,662.36
支付其他与经营活动有关的现金||287,861,541.17|304,465,501.93
经营活动现金流出小计||6,250,178,765.07|5,533,090,126.51
经营活动产生的现金流量净额||3,012,703,610.46|3,119,314,301.61
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||12,085,337.66|3,575,765.33
处置固定资产、无形资产和其他长期资产收回的现金净额||714,786.37|4,417,125.12
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||12,800,124.03|7,992,890.45
page|65
购建固定资产、无形资产和其他长期资产支付的现金||1,062,723,600.42|1,816,217,290.36
投资支付的现金||8,700,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,071,423,600.42|1,816,217,290.36
投资活动产生的现金流量净额||-1,058,623,476.39|-1,808,224,399.91
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,100,000,000.00|4,449,430,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||1,100,000,000.00|4,449,430,000.00
偿还债务支付的现金||3,670,000,000.00|5,650,000,000.00
分配股利、利润或偿付利息支付的现金||429,571,058.60|656,384,463.95
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||603,866.86
筹资活动现金流出小计||4,099,571,058.60|6,306,988,330.81
筹资活动产生的现金流量净额||-2,999,571,058.60|-1,857,558,330.81
四、汇率变动对现金及现金等价物的影响||1,236,299.53|498,803.43
五、现金及现金等价物净增加额||-1,044,254,625.00|-545,969,625.68
加：期初现金及现金等价物余额||2,261,736,875.72|2,807,706,501.40
六、期末现金及现金等价物余额||1,217,482,250.72|2,261,736,875.72
