page|81
项目|附注|2020 年度|2019 年度
一、营业总收入||3,011,530,875.55|2,787,727,912.08
其中：营业收入|七.61|3,011,530,875.55|2,787,727,912.08
二、营业总成本||2,851,088,801.70|2,731,617,689.98
其中：营业成本|七.61|2,578,329,325.17|2,406,401,197.42
税金及附加|七.62|17,282,381.44|16,745,712.97
销售费用|七.63|35,852,907.60|108,638,033.47
管理费用|七.64|159,128,962.63|147,984,703.34
研发费用|七.65|43,027,908.09|37,390,471.53
财务费用|七.66|17,467,316.77|14,457,571.25
其中：利息费用|七.66|17,067,902.02|18,307,308.02
利息收入|七.66|2,961,629.75|3,865,523.09
加：其他收益|七.67|5,878,065.89|6,900,735.51
投资收益（损失以“－”号填列）|七.68|10,515,511.97|5,791,049.79
其中：对联营企业和合营企业的投资收益|七.68|10,515,511.97|5,791,049.79
以摊余成本计量的金融资产终止确认收益|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）  七.71||-1,605,395.16|435,731.45
资产减值损失（损失以“-”号填列）  七.72||-24,559,037.12|-15,328,947.64
资产处置收益（损失以“－”号填列）  七.73||25,628.11|
三、营业利润（亏损以“－”号填列）||150,696,847.54|53,908,791.21
加：营业外收入|七.74|360,286.09|50,441,013.59
减：营业外支出|七.75|858,073.04|1,717,685.67
四、利润总额（亏损总额以“－”号填列）||150,199,060.59|102,632,119.13
减：所得税费用|七.76|26,092,235.66|16,862,046.63
五、净利润（净亏损以“－”号填列）||124,106,824.93|85,770,072.50
page|82
1.归属于母公司股东的净利润（净亏损以“-”号填列）||105,908,434.82|82,974,925.12
2.少数股东损益（净亏损以“-”号填列）||18,198,390.11|2,795,147.38
六、其他综合收益的税后净额||101,730.71|-1,368,669.50
（一）归属母公司所有者的其他综合收益的税后净额||502,102.34|-1,543,727.76
1．不能重分类进损益的其他综合收益||831,118.39|-1,807,117.09
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||831,118.39|-1,807,117.09
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-329,016.05|263,389.33
（1）外币财务报表折算差额||-329,016.05|263,389.33
（二）归属于少数股东的其他综合收益的税后净额||-400,371.63|175,058.26
七、综合收益总额||124,208,555.64|84,401,403.00
（一）归属于母公司所有者的综合收益总额||106,410,537.16|81,431,197.36
（二）归属于少数股东的综合收益总额||17,798,018.48|2,970,205.64
八、每股收益：|||
（一）基本每股收益(元/股)||0.1180|0.0924
（二）稀释每股收益(元/股)||0.1180|0.0924
