page|70
项目|附 注|2020 年度|2019 年度
一、营业总收入||2,329,927,464.02|1,929,602,282.47
其中：营业收入||2,329,927,464.02|1,929,602,282.47
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,888,619,124.37|1,771,284,260.30
其中：营业成本||1,539,707,873.39|1,458,757,642.28
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||13,681,384.55|12,059,644.76
销售费用||119,556,829.72|114,288,655.79
管理费用||87,683,317.46|85,398,523.83
研发费用||95,601,062.07|84,641,307.98
财务费用||32,388,657.18|16,138,485.66
其中：利息费用||20,860,809.42|22,367,855.00
利息收入||3,296,992.76|3,332,887.41
加：其他收益||12,215,856.71|17,241,668.39
投资收益（损失以“－”号填列）||6,556,330.02|-4,344,350.00
其中：对联营企业和合营企业的投资收益|||
page|71
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||2,363,367.97|3,558,723.80
信用减值损失（损失以“-”号填列）||-3,538,163.43|64,435.92
资产减值损失（损失以“-”号填列）||-6,533,159.75|-72,591,354.56
资产处置收益（损失以“－”号填列）||-7,783,231.01|-10,154,401.10
三、营业利润（亏损以“－”号填列）||444,589,340.16|92,092,744.62
加：营业外收入|||81,855,803.77
减：营业外支出||1,139,249.00|1,438,306.26
四、利润总额（亏损总额以“－”号填列）||443,450,091.16|172,510,242.13
减：所得税费用||60,806,199.11|19,548,666.09
五、净利润（净亏损以“－”号填列）||382,643,892.05|152,961,576.04
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||382,643,892.05|152,961,576.04
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||393,220,204.76|165,769,087.54
2.少数股东损益（净亏损以“-”号填列）||-10,576,312.71|-12,807,511.50
六、其他综合收益的税后净额||-2,304,669.79|506,876.23
（一）归属母公司所有者的其他综合收益的税后净额||-2,304,038.14|506,244.58
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-2,304,038.14|506,244.58
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-2,304,038.14|506,244.58
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-631.65|631.65
七、综合收益总额||380,339,222.26|153,468,452.27
page|72
（一）归属于母公司所有者的综合收益总额||390,916,166.62|166,275,332.12
（二）归属于少数股东的综合收益总额||-10,576,944.36|-12,806,879.85
八、每股收益：|||
（一）基本每股收益(元/股)||1.14|0.47
（二）稀释每股收益(元/股)||1.14|0.47
