page|106
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,772,559,543.21|2,870,572,224.34
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||236,606,355.40|107,753,773.87
收到其他与经营活动有关的现金|78(1)|47,097,745.24|69,561,246.60
经营活动现金流入小计||5,056,263,643.85|3,047,887,244.81
购买商品、接受劳务支付的现金||3,700,416,348.16|1,513,356,237.89
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||612,911,509.04|450,574,737.15
支付的各项税费||55,533,889.84|33,027,381.02
支付其他与经营活动有关的现金|78(2)|110,738,336.94|123,908,504.97
经营活动现金流出小计||4,479,600,083.98|2,120,866,861.03
经营活动产生的现金流量净额||576,663,559.87|927,020,383.78
二、投资活动产生的现金流量：|||
page|107
收回投资收到的现金||3,588,430,967.50|3,397,030,700.00
取得投资收益收到的现金||31,274,038.13|49,082,583.23
处置固定资产、无形资产和其他长期资产收回的现金净额||200.00|50,000.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||3,619,705,205.63|3,446,163,283.23
购建固定资产、无形资产和其他长期资产支付的现金||263,259,444.33|263,563,754.35
投资支付的现金||4,348,610,702.04|3,122,589,200.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||4,611,870,146.37|3,386,152,954.35
投资活动产生的现金流量净额||-992,164,940.74|60,010,328.88
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||19,763,550.00|
其中：子公司吸收少数股东投资收到的现金||19,763,550.00|
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||19,763,550.00|
偿还债务支付的现金|||86,912,378.26
分配股利、利润或偿付利息支付的现金||6,071,953.30|49,874,743.88
其中：子公司支付给少数股东的股利、利润||6,071,953.30|
支付其他与筹资活动有关的现金|78(6)|11,215,702.19|
筹资活动现金流出小计||17,287,655.49|136,787,122.14
筹资活动产生的现金流量净额||2,475,894.51|-136,787,122.14
四、汇率变动对现金及现金等价物的影响||-23,452,550.14|-45,723,772.18
五、现金及现金等价物净增加额||-436,478,036.50|804,519,818.34
加：期初现金及现金等价物余额||1,226,328,229.30|421,808,410.96
六、期末现金及现金等价物余额||789,850,192.80|1,226,328,229.30
