page|103
项目|附注七|2021 年度|2020 年度
一、营业总收入||4,777,074,912.68|2,738,253,323.92
其中：营业收入|61|4,777,074,912.68|2,738,253,323.92
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||3,993,543,800.13|2,611,449,181.03
其中：营业成本|61|2,864,817,245.19|1,837,615,204.70
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|14,013,687.08|2,809,972.95
销售费用|63|87,345,580.49|74,883,786.08
管理费用|64|105,938,929.61|92,456,396.68
研发费用|65|903,873,092.22|577,753,681.65
财务费用|66|17,555,265.54|25,930,138.97
其中：利息费用||671,663.56|540,343.88
利息收入||13,461,318.30|32,227,967.98
加：其他收益|67|23,034,650.16|9,642,723.22
投资收益（损失以“－”号填列）|68|59,311,507.30|10,945,420.28
其中：对联营企业和合营企业的投资收益||-2,609,048.15|-2,403,428.86
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号|70|3,988,709.84|398,767.12
page|104
填列）|||
信用减值损失（损失以“-”号填列）|71|224,734.47|480,009.31
资产减值损失（损失以“-”号填列）|72|-23,321,279.05|-26,522,944.10
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||846,769,435.27|121,748,118.72
加：营业外收入|74|169,796.12|85,896.99
减：营业外支出|75|399,654.18|3,041,437.10
四、利润总额（亏损总额以“－”号填列）||846,539,577.21|118,792,578.61
减：所得税费用|76|18,632,892.67|4,490,294.20
五、净利润（净亏损以“－”号填列）||827,906,684.54|114,302,284.41
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||827,906,684.54|114,302,284.41
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||811,606,706.20|114,834,440.99
2.少数股东损益（净亏损以“-”号填列）||16,299,978.34|-532,156.58
六、其他综合收益的税后净额||-8,284,158.94|-21,444,570.65
（一）归属母公司所有者的其他综合收益的税后净额||-8,284,158.94|-21,444,570.65
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-8,284,158.94|-21,444,570.65
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-8,284,158.94|-21,444,570.65
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||819,622,525.60|92,857,713.76
（一）归属于母公司所有者的综合收益总额||803,322,547.26|93,389,870.34
（二）归属于少数股东的综合收益总额||16,299,978.34|-532,156.58
八、每股收益：|||
（一）基本每股收益(元/股)||1.97|0.28
（二）稀释每股收益(元/股)||1.95|0.28
