page|56
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||83,422,171,951.36|59,100,137,521.45
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
page|57
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||22,476,168.36
收到其他与经营活动有关的现金|78|786,199,363.75|517,823,173.83
经营活动现金流入小计||84,208,371,315.11|59,640,436,863.64
购买商品、接受劳务支付的现金||75,846,606,447.33|42,495,952,311.72
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||3,513,899,970.95|3,268,088,605.08
支付的各项税费||3,069,352,246.87|3,004,772,618.48
支付其他与经营活动有关的现金|78|932,853,423.33|743,359,335.10
经营活动现金流出小计||83,362,712,088.48|49,512,172,870.38
经营活动产生的现金流量净额||845,659,226.63|10,128,263,993.26
二、投资活动产生的现金流量：|||
收回投资收到的现金||589,233,758.81|505,931,225.30
取得投资收益收到的现金||2,551,253,549.83|2,344,872,388.00
处置固定资产、无形资产和其他长期资产收回的现金净额||62,705,709.73|22,920,968.07
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|78|81,639,018.63|
投资活动现金流入小计||3,284,832,037.00|2,873,724,581.37
购建固定资产、无形资产和其他长期资产支付的现金||4,711,582,057.52|3,202,337,901.65
投资支付的现金||4,429,858,771.74|858,171,649.54
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|78|6,949,584.86|45,907,340.78
投资活动现金流出小计||9,148,390,414.12|4,106,416,891.97
投资活动产生的现金流量净额||-5,863,558,377.12|-1,232,692,310.60
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||28,333,600.00|107,909,500.00
其中：子公司吸收少数股东投资收到的现金||28,333,600.00|107,909,500.00
取得借款收到的现金||16,666,000,000.00|5,939,000,000.00
收到其他与筹资活动有关的现金|78|355,819,373.35|98,200,000.00
筹资活动现金流入小计||17,050,152,973.35|6,145,109,500.00
偿还债务支付的现金||13,651,480,708.07|8,166,259,687.23
分配股利、利润或偿付利息支付的现金||4,657,227,032.34|4,476,191,087.53
其中：子公司支付给少数股东的股利、利润||468,484,242.20|541,634,125.75
支付其他与筹资活动有关的现金|78|1,452,729,202.70|273,378,993.11
筹资活动现金流出小计||19,761,436,943.11|12,915,829,767.87
筹资活动产生的现金流量净额||-2,711,283,969.76|-6,770,720,267.87
四、汇率变动对现金及现金等价物的影响||3,462,763.09|-8,234,903.34
五、现金及现金等价物净增加额||-7,725,720,357.16|2,116,616,511.45
加：期初现金及现金等价物余额||18,566,255,489.51|16,449,638,978.06
六、期末现金及现金等价物余额||10,840,535,132.35|18,566,255,489.51
