page|83
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|1|1,408,874,821|1,372,221,708
结算备付金|||
拆出资金|||
交易性金融资产|2|3,000,000|25,900,000
衍生金融资产|3||
应收票据|4|44,856,149|
应收账款|5|1,376,163,686|1,149,981,782
应收款项融资|6|378,858|17,621,353
预付款项|7|143,436,576|427,628,595
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|363,387,872|80,923,914
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|9|2,729,631,056|2,386,848,266
合同资产|10||
持有待售资产|11||
一年内到期的非流动资产|12|33,127,327|31,800,075
其他流动资产|13|125,294,237|141,748,646
流动资产合计||6,228,150,582|5,634,674,339
非流动资产：|||
发放贷款和垫款|||
债权投资|14|300,256,667|3,900,000
其他债权投资|15||
长期应收款|16|63,369,600|67,256,503
长期股权投资|17|63,318,623|63,759,166
其他权益工具投资|18|178,824,723|65,980,000
其他非流动金融资产|19|94,539,900|84,069,900
投资性房地产|20|343,964,578|347,501,160
固定资产|21|1,042,989,186|1,000,169,850
在建工程|22|132,742,532|80,468,185
生产性生物资产|23||
油气资产|24||
使用权资产|25|3,495,727,239|-
无形资产|26|466,317,378|431,522,294
开发支出|27|-|1,407,774
page|84
商誉|28|3,695,010,549|2,808,804,373
长期待摊费用|29|683,555,826|607,112,202
递延所得税资产|30|58,620,018|49,085,334
其他非流动资产|31|110,698,316|38,397,960
非流动资产合计||10,729,935,135|5,649,434,701
资产总计||16,958,085,717|11,284,109,040
流动负债：|||
短期借款|32|1,616,080,175|1,158,326,445
向中央银行借款|||
拆入资金|||
交易性金融负债|33||
衍生金融负债|34||
应付票据|35|3,145,696,849|2,574,682,142
应付账款|36|1,769,245,431|1,534,168,704
预收款项|37|20,545,678|16,036,962
合同负债|38|102,744,959|83,947,999
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|39|265,544,676|269,339,747
应交税费|40|132,441,920|104,058,686
其他应付款|41|643,728,975|514,966,872
其中：应付利息|41|3,034,409|32,200
应付股利|41|11,300,087|4,729,355
应付手续费及佣金|||
应付分保账款|||
持有待售负债|42||
一年内到期的非流动负债|43|908,953,976|28,500,000
其他流动负债|44|7,837,179|7,254,511
流动负债合计||8,612,819,818|6,291,282,068
非流动负债：|||
保险合同准备金|||
长期借款|45|875,135,712|118,000,000
应付债券|46||
其中：优先股|||
永续债|||
租赁负债|47|2,625,296,387|-
长期应付款|48|-|6,668,091
长期应付职工薪酬|49||
预计负债|50||
递延收益|51|22,288,043|30,406,812
递延所得税负债|30|43,651,732|32,374,177
其他非流动负债|52||
非流动负债合计||3,566,371,874|187,449,080
负债合计||12,179,191,692|6,478,731,148
所有者权益（或股东权益）：|||
实收资本（或股本）|53|408,673,661|408,732,093
page|85
其他权益工具|54||
其中：优先股|||
永续债|||
资本公积|55|1,139,082,597|1,586,661,325
减：库存股|56|13,749,993|29,058,869
其他综合收益|57|84,206,342|-
专项储备|58||
盈余公积|59|204,336,831|180,895,459
一般风险准备|||
未分配利润|60|2,535,033,094|2,142,677,953
归属于母公司所有者权益（或股东权益）合计||4,357,582,532|4,289,907,961
少数股东权益||421,311,493|515,469,931
所有者权益（或股东权益）合计||4,778,894,025|4,805,377,892
负债和所有者权益（或股东权益）总计||16,958,085,717|11,284,109,040
