page|91
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||17,630,981,067|15,931,926,456
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|78|106,018,616|161,746,970
经营活动现金流入小计||17,736,999,683|16,093,673,426
购买商品、接受劳务支付的现金||12,028,343,005|10,813,641,976
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,210,896,837|1,715,247,178
支付的各项税费||542,127,778|568,298,108
支付其他与经营活动有关的现金|78|657,335,519|1,549,008,314
经营活动现金流出小计||15,438,703,139|14,646,195,576
经营活动产生的现金流量净额|79|2,298,296,544|1,447,477,850
page|92
二、投资活动产生的现金流量：|||
收回投资收到的现金||27,663,670|318,120,000
取得投资收益收到的现金||1,058,990|8,396,107
处置固定资产、无形资产和其他长期资产收回的现金净额||19,529,145|3,952,226
处置子公司及其他营业单位收到的现金净额||60,039,604|-
收到其他与投资活动有关的现金|||
投资活动现金流入小计||108,291,409|330,468,333
购建固定资产、无形资产和其他长期资产支付的现金||478,614,863|394,274,720
投资支付的现金||300,000,000|435,339,900
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||849,109,074|499,217,483
支付其他与投资活动有关的现金|78|482,718,821|11,981,000
投资活动现金流出小计||2,110,442,758|1,340,813,103
投资活动产生的现金流量净额||(2,002,151,349)|(1,010,344,770)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||16,120,792|20,688,592
其中：子公司吸收少数股东投资收到的现金||16,120,792|18,828,592
取得借款收到的现金||3,631,912,091|1,734,017,728
收到其他与筹资活动有关的现金|78|43,938,310|-
筹资活动现金流入小计||3,691,971,193|1,754,706,320
偿还债务支付的现金||2,412,790,367|1,996,964,034
分配股利、利润或偿付利息支付的现金||263,460,812|203,194,174
其中：子公司支付给少数股东的股利、利润||95,230,394|26,235,810
支付其他与筹资活动有关的现金||1,428,928,566|49,745,554
筹资活动现金流出小计|78|4,105,179,745|2,249,903,762
筹资活动产生的现金流量净额||(413,208,552)|(495,197,442)
四、汇率变动对现金及现金等价物的影响||(658,499)|-
page|93
五、现金及现金等价物净增加额||(117,721,856)|(58,064,362)
加：期初现金及现金等价物余额||797,281,287|855,345,649
六、期末现金及现金等价物余额|79|679,559,431|797,281,287
