page|87
项目|附注七|2021 年度|2020 年度
一、营业总收入|61|15,695,664,147|13,966,699,240
其中：营业收入|61|15,695,664,147|13,966,699,240
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|61|14,872,196,282|13,090,024,303
其中：营业成本|61|10,652,636,694|9,488,810,558
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|44,402,437|43,662,900
销售费用|63|3,266,759,826|2,836,796,296
管理费用|64|722,987,715|657,792,960
研发费用|65|-|150,000
财务费用|66|185,409,610|62,811,589
其中：利息费用||192,133,524|58,491,565
利息收入||13,665,838|12,484,458
加：其他收益|67|108,881,656|102,019,209
投资收益（损失以“－”号填列）|68|23,472,505|8,285,541
其中：对联营企业和合营企业的投资收益||185,278|(110,566)
以摊余成本计量的金融资产终止确认收益|||
page|88
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|69||
公允价值变动收益（损失以“－”号填列）|70|10,470,000|-
信用减值损失（损失以“-”号填列）|71|(7,985,981)|(20,786,433)
资产减值损失（损失以“-”号填列）|72|(6,501,301)|(5,244,983)
资产处置收益（损失以“－”号填列）|73|4,658,673|(1,434,091)
三、营业利润（亏损以“－”号填列）||956,463,417|959,514,180
加：营业外收入|74|18,399,009|12,983,733
减：营业外支出|75|12,875,085|15,636,361
四、利润总额（亏损总额以“－”号填列）||961,987,341|956,861,552
减：所得税费用|76|175,257,179|192,377,246
五、净利润（净亏损以“－”号填列）||786,730,162|764,484,306
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||786,730,162|764,484,306
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||669,236,722|621,090,283
2.少数股东损益（净亏损以“-”号填列）||117,493,440|143,394,023
六、其他综合收益的税后净额||84,206,342|-
（一）归属母公司所有者的其他综合收益的税后净额||84,206,342|-
1．不能重分类进损益的其他综合收益||84,206,342|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||84,206,342|-
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
page|89
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||870,936,504|764,484,306
（一）归属于母公司所有者的综合收益总额||753,443,064|621,090,283
（二）归属于少数股东的综合收益总额||117,493,440|143,394,023
八、每股收益：|||
（一）基本每股收益(元/股)|59|1.64|1.54
（二）稀释每股收益(元/股)|59|1.64|1.52
