page|79
项目|附注|2020 年度|2019 年度
一、营业总收入||1,952,143,218.14|2,660,080,151.25
其中：营业收入||1,952,143,218.14|2,660,080,151.25
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,809,295,446.85|2,496,504,879.54
其中：营业成本||1,136,251,874.12|1,661,066,203.96
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||12,624,492.63|20,705,303.99
销售费用||283,943,287.00|358,702,508.76
管理费用||122,653,394.55|156,665,796.34
研发费用||262,196,904.01|274,023,883.65
财务费用||-8,374,505.46|25,341,182.84
其中：利息费用||16,039,514.49|32,523,768.91
利息收入||7,741,942.81|12,769,791.64
加：其他收益||31,145,488.79|29,370,463.69
投资收益（损失以“－”号填列）||-11,299,327.06|-2,923,978.04
其中：对联营企业和合营企业的投资收益||-10,814,966.62|-11,105,597.47
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|80
1.归属于母公司股东的净利润（净亏损以“-”号填列）||138,148,088.07|177,302,150.08
2.少数股东损益（净亏损以“-”号填列）||-2,162,318.75|-1,729,438.18
六、其他综合收益的税后净额||-15,489,973.92|3,966,160.23
（一）归属母公司所有者的其他综合收益的税后净额||-15,489,973.92|3,966,160.23
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-15,489,973.92|3,966,160.23
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-15,489,973.92|3,966,160.23
（7）其他|||
page|81
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||120,495,795.40|179,538,872.13
（一）归属于母公司所有者的综合收益总额||122,658,114.15|181,268,310.31
（二）归属于少数股东的综合收益总额||-2,162,318.75|-1,729,438.18
八、每股收益：|||
（一）基本每股收益(元/股)||0.33|0.42
（二）稀释每股收益(元/股)||0.33|0.42
